feature	first_member_id	log2fc	ci_low	ci_high	se	t	p	q	residual_sd	mean_log2_abundance
sp|Q9Y6L6|SO1B1_HUMAN	psvid_69219_sp|Q9Y6L6|SO1B1_HUMAN	-0.3620749883526483	-1.0693473998172465	0.3451974231119499	0.3027913420670505	-1.1957904274306164	0.26843718077980805	1.0	0.4585389201931851	3.2383924162339284
sp|P31512|FMO4_HUMAN	psvid_66625_sp|P31512|FMO4_HUMAN	-0.2518448825913996	-0.7458173267709078	0.24212756158810866	0.21147520657214422	-1.1908955507060037	0.2702410331323749	1.0	0.2650883159793938	3.7720750006080817
sp|O14521|DHSD_HUMAN	psvid_106346_sp|O14521|DHSD_HUMAN	-0.43872187554086706	-1.3024894227479114	0.42504567166617735	0.369788684831059	-1.186412385066084	0.2719019768472712	1.0	0.5870102654658792	1.7618421881310116
sp|Q9BVT8|TMUB1_HUMAN	psvid_80494_sp|Q9BVT8|TMUB1_HUMAN	-0.6118647442428056	-1.8168162688622578	0.5930867803766466	0.5158534156729577	-1.1861213392269507	0.27201009668440346	1.0	0.8545145220156505	2.6475129256828565
sp|Q9NYL4|FKB11_HUMAN	psvid_107318_sp|Q9NYL4|FKB11_HUMAN	-0.21133069306415642	-0.6276658331336646	0.2050044470053518	0.17823779602865195	-1.1856671131087413	0.27217890709497244	1.0	0.1779323083377525	3.309110644336337
sp|P20645|MPRD_HUMAN	psvid_88591_sp|P20645|MPRD_HUMAN	-0.23457889998519144	-0.6967277778413288	0.2275699778709459	0.19785117684863282	-1.1856330789715614	0.2721915591719021	1.0	0.23162089037181646	4.022487593381639
sp|P21695|GPDA_HUMAN	psvid_88138_sp|P21695|GPDA_HUMAN	-0.2823207542362418	-0.8389134939949715	0.2742719855224879	0.23828366542296273	-1.1848095157303862	0.2724978646035291	1.0	0.3259044256893984	4.0854742059161016
sp|P12235|ADT1_HUMAN	psvid_82712_sp|P12235|ADT1_HUMAN	0.22829892661072138	-0.2218467154101484	0.6784445686315912	0.19271245543267682	1.184660981554856	0.2725531388519771	1.0	0.2183244209216136	5.391433684332538
sp|P67809|YBOX1_HUMAN	psvid_48893_sp|P67809|YBOX1_HUMAN	-0.36048019835744727	-1.0715760583986582	0.3506156616837638	0.30442820377276814	-1.1841222130210958	0.27275370952164923	1.0	0.46175834876096783	4.38255652670236
sp|O15228|GNPAT_HUMAN	psvid_74809_sp|O15228|GNPAT_HUMAN	-0.396240625180289	-1.1786565950291217	0.38617534466854364	0.33496115177833313	-1.1829450163895685	0.27319237693165344	1.0	0.5209754883943085	0.6981203125901445
sp|P62306|RUXF_HUMAN	psvid_9269_sp|P62306|RUXF_HUMAN	-0.20751874963942196	-0.6173167074598185	0.2022792081809746	0.17543915415536507	-1.1828531130265705	0.27322664811390635	1.0	0.16943834955898482	1.542481250360578
sp|Q9UP52|TFR2_HUMAN	psvid_36362_sp|Q9UP52|TFR2_HUMAN	-0.19330072371215024	-0.5762504965574513	0.18964904913315084	0.16394514162370208	-1.1790573468521992	0.2746452166297158	1.0	0.13069487869445898	4.69820057497652
sp|P49207|RL34_HUMAN	psvid_17293_sp|P49207|RL34_HUMAN	-0.5808425172653172	-1.7324211065268966	0.5707360719962623	0.4930038566273804	-1.1781703316457555	0.2749775915814417	1.0	0.8133137439178545	2.993866556436918
sp|Q9H2M3|BHMT2_HUMAN	psvid_50162_sp|Q9H2M3|BHMT2_HUMAN	-0.20994409993749596	-0.6262670120128006	0.20637881213780862	0.17823256108562902	-1.1779222531433615	0.2750706089440333	1.0	0.1779166761830238	4.165169883009237
