feature	first_member_id	log2fc	ci_low	ci_high	se	t	p	q	residual_sd	mean_log2_abundance
sp|Q9P2E9|RRBP1_HUMAN	psvid_32461_sp|Q9P2E9|RRBP1_HUMAN	-0.02320229872327273	-0.8615895826263571	0.8151849851798116	0.3678052242137434	-0.06308311354976603	0.9511464731554692	1.0	0.5508285576543653	-12.398272211634513
sp|P61313|RL15_HUMAN	psvid_17606_sp|P61313|RL15_HUMAN	0.022077080816542693	-0.7796219110907318	0.8237760727238171	0.3517098638443487	0.0627707183848362	0.951388046311755	1.0	0.5199195783802744	-9.741544969948118
sp|Q9UBC5|MYO1A_HUMAN	psvid_24971_sp|Q9UBC5|MYO1A_HUMAN	-0.021172628305926366	-0.7955150543685077	0.7531697977566549	0.3397083843045081	-0.06232589268961824	0.951732036256753	1.0	0.49659062450059704	-15.883185428019557
sp|P02790|HEMO_HUMAN	psvid_51814_sp|P02790|HEMO_HUMAN	0.014421281593801627	-0.5214472940230993	0.5502898572107026	0.23508856275384218	0.06134403743367958	0.9524913562590069	1.0	0.2734011410460893	-11.027310923226914
sp|P43155|CACP_HUMAN	psvid_85002_sp|P43155|CACP_HUMAN	-0.033691589558547896	-1.2899518865173185	1.2225687074002227	0.5511284689846959	-0.061132007244364406	0.9526553370197455	1.0	0.8859131081227656	-13.282360561239713
sp|Q14118|DAG1_HUMAN	psvid_61403_sp|Q14118|DAG1_HUMAN	-0.016531608250954566	-0.6407492040429368	0.6076859875410277	0.27384777558836876	-0.06036787487295084	0.9532463244092471	1.0	0.3621063485463971	-14.658507315645325
sp|Q9Y2R0|COA3_HUMAN	psvid_79221_sp|Q9Y2R0|COA3_HUMAN	0.04598156903471917	-1.6936683163283341	1.7856314543977725	0.7631942044260971	0.060248844616549675	0.9533383863132606	1.0	1.2575274298481605	-12.698156187147951
sp|P62244|RS15A_HUMAN	psvid_9975_sp|P62244|RS15A_HUMAN	0.02333758887167603	-0.86127165527696	0.9079468330203121	0.3880830585489301	0.06013555180413419	0.9534260113744422	1.0	0.5892501816210469	-9.808836562552017
sp|P07237|PDIA1_HUMAN	psvid_33235_sp|P07237|PDIA1_HUMAN	-0.013785385386365423	-0.5364296414257138	0.508858870652983	0.2292869792605289	-0.06012284444072894	0.9534358397844115	1.0	0.2589381285814775	-6.696854875244776
sp|O75533|SF3B1_HUMAN	psvid_32119_sp|O75533|SF3B1_HUMAN	-0.05105636412337233	-2.0183305346226623	1.9162178063759177	0.8630542605582278	-0.05915776847025681	0.9541822945400417	1.0	1.4302005636438981	-14.48977370613824
sp|Q14696|MESD_HUMAN	psvid_41661_sp|Q14696|MESD_HUMAN	0.014289265979873012	-0.5406665280902002	0.5692450600499462	0.2434622330105076	0.058691920316266466	0.954542629948869	1.0	0.2935984061428551	-11.054947080512505
sp|P35573|GDE_HUMAN	psvid_41656_sp|P35573|GDE_HUMAN	0.023587049102342217	-0.9029797964472118	0.9501538946518963	0.40649009463718194	0.05802613498711487	0.9550576366297091	1.0	0.623709197798438	-9.502976235879155
sp|O94906|PRP6_HUMAN	psvid_61944_sp|O94906|PRP6_HUMAN	0.040366033908725285	-1.549113693998082	1.6298457618155326	0.6973137104182794	0.05788791085795798	0.9551645602971293	1.0	1.1429789645629052	-15.767657198437323
sp|P62081|RS7_HUMAN	psvid_86864_sp|P62081|RS7_HUMAN	-0.01620829272411628	-0.6619254168932327	0.6295088314450001	0.2832797397975918	-0.05721656174810589	0.9556838978480493	1.0	0.3822802360399097	-10.387239348399165
sp|P53621|COPA_HUMAN	psvid_40294_sp|P53621|COPA_HUMAN	0.025885981848620343	-1.0298587162603592	1.0816306799575999	0.4631611462338587	0.05588979572036474	0.9567103134756707	1.0	0.7279127529980579	-12.007556911286823
sp|P62249|RS16_HUMAN	psvid_84008_sp|P62249|RS16_HUMAN	0.009525572796127424	-0.3805955937126696	0.39964673930492445	0.1711483533603811	0.05565681824627176	0.9568905588436228	1.0	0.022743520226075835	-9.98078856324014
sp|Q9H330|TM245_HUMAN	psvid_36294_sp|Q9H330|TM245_HUMAN	0.028598010401212903	-1.160997162489364	1.2181931832917898	0.5218821035210072	0.05479783692192035	0.957555140849201	1.0	0.8337623296503318	-15.357122784798843
sp|Q13200|PSMD2_HUMAN	psvid_47390_sp|Q13200|PSMD2_HUMAN	-0.024562708635668784	-1.0521816513333855	1.003056234062048	0.45082221889819996	-0.05448424590895171	0.9577977706214633	1.0	0.705427499880187	-12.795902260335728
sp|Q9NUQ7|UFSP2_HUMAN	psvid_53550_sp|Q9NUQ7|UFSP2_HUMAN	-0.013470676769036238	-0.5776593495127068	0.5507179959746343	0.24751274889485073	-0.05442417341806866	0.9578442500805472	1.0	0.3031226330177334	-11.592971304222893
sp|O95169|NDUB8_HUMAN	psvid_46674_sp|O95169|NDUB8_HUMAN	-0.018101277687395445	-0.7788965683018713	0.7426940129270804	0.33376517967031144	-0.05423357135479391	0.9579917243749201	1.0	0.48493675370190864	-11.30212173718715
sp|Q9NYU1|UGGG2_HUMAN	psvid_41231_sp|Q9NYU1|UGGG2_HUMAN	0.027278172781353582	-1.1301498477832128	1.18470619334592	0.5077701925930337	0.053721492870725515	0.9583879426261929	1.0	0.8084768385516732	-15.826361086686664
sp|Q07954|LRP1_HUMAN	psvid_31050_sp|Q07954|LRP1_HUMAN	-0.014021935538071073	-0.6101375481019206	0.5820936770257784	0.2615192772433616	-0.05361721585450353	0.9584686279582085	1.0	0.3350503998770056	-11.586394598906333
sp|Q9NYQ3|HAOX2_HUMAN	psvid_96753_sp|Q9NYQ3|HAOX2_HUMAN	0.025135250594386704	-1.0546043780269696	1.104874879215743	0.4736878574167994	0.05306289827959453	0.9588975448779823	1.0	0.7470210141629924	-13.045350535793293
sp|Q9BT09|CNPY3_HUMAN	psvid_94382_sp|Q9BT09|CNPY3_HUMAN	0.016029544550452357	-0.6760598898869095	0.7081189789878142	0.3036235335346792	0.05279414399747607	0.9591055052225447	1.0	0.4245701539864368	-11.166656466766568
sp|P49821|NDUV1_HUMAN	psvid_49307_sp|P49821|NDUV1_HUMAN	-0.0188311159835699	-0.8339064964150089	0.7962442644478691	0.35757816084116867	-0.0526629365151146	0.9592070339307909	1.0	0.5312357415375171	-11.344235372338076
sp|P41567|EIF1_HUMAN	psvid_107427_sp|P41567|EIF1_HUMAN	0.02755910258879002	-1.1713783241190243	1.2264965292966044	0.5259806028969923	0.05239566333245026	0.9594138530698986	1.0	0.8410903056206445	-12.347779380678208
sp|Q06278|AOXA_HUMAN	psvid_38112_sp|Q06278|AOXA_HUMAN	-0.018373303295150745	-0.8230578662343814	0.7863112596440799	0.35301965067425206	-0.05204612054897947	0.9596843382723194	1.0	0.5224502315898594	-11.43802265269736
