feature	accession	entry	protein_log2fc	protein_se	protein_ci_low	protein_ci_high	protein_t	protein_p	protein_q	protein_residual_sd	nsaf_log2fc	nsaf_se	nsaf_ci_low	nsaf_ci_high	nsaf_t	nsaf_p	nsaf_q	nsaf_residual_sd	psm_log2_log2fc	psm_log2_se	psm_log2_ci_low	psm_log2_ci_high	psm_log2_t	psm_log2_p	psm_log2_q	psm_log2_residual_sd
psvid_61561_sp|Q6NXT6|TAPT1_HUMAN	Q6NXT6	TAPT1_HUMAN	-0.017819126294605248	0.11749963088356616	-0.3031595986111302	0.2675213460219197	-0.15165261508151243	0.8842801902303219	0.9878879509385068	0.1954479521927701	0.025934692354629973	0.09250810018044887	-0.22180974977445003	0.27367913448370995	0.280350502324024	0.7918824476486144	0.9686200888248205	0.11026405043185548	-0.055598105334111914	0.09664056816792443	-0.30541818070047855	0.19422197003225472	-0.5753081380637541	0.5904466451782525	0.8383831152314581	0.07862759460574914
psvid_63242_sp|Q99832|TCPH_HUMAN	Q99832	TCPH_HUMAN	0.012077103255701438	0.08030644246165188	-0.18294204744081782	0.2070962539522207	0.15038772588473864	0.8852369362062024	0.9878936230794663	0.08842703694697669	0.09851887142675286	0.17724245831206323	-0.37615128038109025	0.573189023234596	0.5558423888101061	0.6053380213216518	0.902812453538994	0.2816376877370663	0.015469386873097624	0.20860386610220985	-0.5237806872864029	0.5547194610325982	0.07415676018927699	0.9438125644293821	0.9963964473527942	0.3435413967999507
psvid_94579_sp|O75964|ATP5L_HUMAN	O75964	ATP5L_HUMAN	-0.013074412904301447	0.0871318600812418	-0.22466866151973436	0.19851983571113146	-0.15005318252256816	0.8854900158090339	0.9878936230794663	0.11197603465029617	0.17174053102193065	0.15045544969555938	-0.23119176763513333	0.5746728296789947	1.141470989382178	0.31187107098476785	0.7900271547975081	0.23135916701878692	0.09172888741516794	0.1693456195606779	-0.3460369105683562	0.5294946853986922	0.5416667266217697	0.611717577639265	0.8454787128573634	0.26356383462130645
psvid_91615_sp|Q93099|HGD_HUMAN	Q93099	HGD_HUMAN	-0.013821859181606833	0.09424254489783657	-0.24268395918349778	0.2150402408202841	-0.14666262669997282	0.8880557705932491	0.9884237384190316	0.13365767892023395	-0.1638269889765689	0.08043760373815093	-0.3792456304299784	0.05159165247684061	-2.036696536981335	0.1048648147800315	0.6917486752637665	0.07761633686008423	-0.24486294014065568	0.09753847034647059	-0.4970041317232086	0.007278251441897254	-2.5104242384657818	0.054698225900020735	0.5036298607729148	0.08217575913520915
psvid_95074_sp|O15144|ARPC2_HUMAN	O15144	ARPC2_HUMAN	-0.013034247068982374	0.08905209517061603	-0.22929166597048845	0.2032231718325237	-0.14636654021457773	0.8882799004269993	0.9884237384190316	0.11804951238954095	0.036537073066222	0.3100635777146128	-0.7938391635618456	0.8669133096942896	0.11783735882661871	0.9113745433858675	0.9951093549619326	0.519135119512873	-0.04248125036057804	0.3209262124643946	-0.8720894791282956	0.7871269784071395	-0.132370771568842	0.8999455439956185	0.9751799558415072	0.5591575710430509
psvid_88221_sp|P20674|COX5A_HUMAN	P20674	COX5A_HUMAN	-0.013372662520804823	0.09142991803996767	-0.23540447488656072	0.20865914984495107	-0.146261342102036	0.8883595353932451	0.9884237384190316	0.12533100439022227	0.166195662155328	0.16693087690425495	-0.2808592107919298	0.6132505351025859	0.9955956934836648	0.37091733776008373	0.801546448152564	0.2624724145838762	0.13476969080555423	0.16856831398343355	-0.3009867384255796	0.570526120036688	0.7994959884263838	0.4609222592100173	0.7776897008297246	0.26192815114198215
psvid_80719_sp|P09110|THIK_HUMAN	P09110	THIK_HUMAN	-0.011282604313207933	0.07715148160634479	-0.19864013076611112	0.17607492213969525	-0.14623963245159602	0.8883759697741784	0.9884237384190316	0.07594693272380576	0.021024519536194664	0.10278028264034945	-0.25422968777033556	0.2962787268427249	0.20455790737377155	0.847021819232729	0.9778892202407429	0.13435975974690192	-0.05972687702986623	0.1271363396790417	-0.38837984919817264	0.2689260951384402	-0.46978603584661915	0.6586362936982987	0.8651228052658235	0.16886097514401405
psvid_49997_sp|Q5VT66|MARC1_HUMAN	Q5VT66	MARC1_HUMAN	0.015082148175030063	0.10464364308893935	-0.2390383653907363	0.26920266174079643	0.14412866113817688	0.8899742792309338	0.9895307240262586	0.1625014146105184	-0.02484967093668944	0.12648205847361593	-0.3635792195357882	0.3138798776624093	-0.19646795155435473	0.8529755346552018	0.9778892202407429	0.18444284310872203	-0.1073842672434896	0.1491781940272777	-0.4930163923584405	0.27824785787146133	-0.7198389010115919	0.5044288500585227	0.7997305200332263	0.22010129805458015
psvid_85176_sp|P43490|NAMPT_HUMAN	P43490	NAMPT_HUMAN	0.014282497064773914	0.09991785691556714	-0.2283617416511322	0.25692673578068004	0.14294238793415023	0.8908727065797771	0.989858562866419	0.14971542329079854	0.08482143397093189	0.2290243944034291	-0.5285250807099473	0.6981679486518111	0.3703598221136128	0.7282351279131869	0.9547442772746325	0.3756781746107973	0.005238992021724065	0.22861475262408176	-0.5857400948475868	0.596218078891035	0.022916246487114066	0.982619392094079	1.0	0.38295094164284943
psvid_68267_sp|P57772|SELB_HUMAN	P57772	SELB_HUMAN	-0.013576532223654958	0.09628902337686437	-0.24740837665282878	0.22025531220551886	-0.14099771445928933	0.8923458914117253	0.9904236851857169	0.13955116324236	-0.1294202432566789	0.171244454051285	-0.5880272371726643	0.3291867506593064	-0.7557631222201192	0.48818345275373143	0.845428577102555	0.2705143827533283	-0.20824812048499564	0.1512144063421714	-0.5991439430679164	0.18264770209792514	-1.377171167234999	0.22794489134164322	0.6252216467363456	0.22460229924868444
psvid_59595_sp|O43776|SYNC_HUMAN	O43776	SYNC_HUMAN	0.015936339448365366	0.11328346415923941	-0.2591654368361972	0.2910381157329279	0.14067666068159868	0.8925891504295668	0.9904236851857169	0.18488336726110818	-0.6040265067245136	0.27331824469737714	-1.3359956632001961	0.12794264975116876	-2.209975069148064	0.085372625756691	0.6917486752637665	0.45443786140716336	-0.6842413985415515	0.24652600015825482	-1.3215218399426116	-0.04696095714049131	-2.775534418691375	0.039901881818900545	0.4861678145147409	0.4177329385998854
psvid_53264_sp|Q15436|SC23A_HUMAN	Q15436	SC23A_HUMAN	-0.012436909723003708	0.08914421700037438	-0.22891804070101798	0.20404422125501057	-0.13951448721515472	0.8934698230065931	0.9904816337786756	0.11833628168755009	-0.005712958679779501	0.12300478238579235	-0.3351300706076438	0.3237041532480848	-0.04644501269764756	0.9649850408245522	1.0	0.17739804610422355	-0.08821489245577263	0.12050975671289715	-0.39973785920909466	0.2233080742975494	-0.7320145261427761	0.4975957223097941	0.7969306490117796	0.15213103510374934
psvid_46243_sp|P39060|COIA1_HUMAN	P39060	COIA1_HUMAN	-0.012685346466101421	0.09125242069037785	-0.2342861176686976	0.20891542473649477	-0.1390138077448178	0.8938492792636828	0.9904816337786756	0.1247956748891383	-0.42979572593295723	0.20136567705258535	-0.9690698784452868	0.10947842657937235	-2.134404096189237	0.09334198227634508	0.6917486752637665	0.32581620963341773	-0.5110985298396135	0.1825979284086101	-0.9831221230527359	-0.039074936626490975	-2.7990379425110357	0.038821157305085466	0.48232346954803157	0.29108180712552817
