feature	accession	entry	log2fc	ci_low	ci_high	se	t	p	q	residual_sd	mean_log2_abundance
psvid_69186_sp|O60220|TIM8A_HUMAN	O60220	TIM8A_HUMAN	0.11032541113126548	-0.07846208815284025	0.29911291041537125	0.07717519690850773	1.4295449257104946	0.20272839306223475	0.7518246943617424	0.07011510185315128	24.864577361298927
psvid_39832_sp|Q9Y2A7|NCKP1_HUMAN	Q9Y2A7	NCKP1_HUMAN	-0.32636979939121336	-0.8853786307087136	0.23263903192628688	0.22851945597096537	-1.4281926149547652	0.2030997968672495	0.7518246943617424	0.43611106172260233	23.050955867487225
psvid_76277_sp|P50991|TCPD_HUMAN	P50991	TCPD_HUMAN	0.10511324759968588	-0.07513995272436555	0.28536644792373733	0.07368642670276924	1.4264940275050082	0.20356718928954182	0.7518246943617424	0.05299416698681932	25.036228673627413
psvid_8353_sp|Q96EK6|GNA1_HUMAN	Q96EK6	GNA1_HUMAN	0.21089461987752678	-0.15259422422126845	0.574383463976322	0.14859205839235431	1.4192859440755832	0.20556161233065068	0.7518246943617424	0.2636016539730107	22.503669479151853
psvid_98866_sp|P36021|MOT8_HUMAN	P36021	MOT8_HUMAN	-0.21729160836948314	-0.5919978510909694	0.1574146343520031	0.1531776636405313	-1.4185593591465844	0.2057636443557823	0.7518246943617424	0.27391145661568944	21.8402141714038
psvid_68088_sp|P63244|RACK1_HUMAN	P63244	RACK1_HUMAN	-0.11909796948926932	-0.3252602498381354	0.08706431085959679	0.08427790315229972	-1.413157720286963	0.20727132267151704	0.7518246943617424	0.09751154968857653	28.663792085905886
psvid_43422_sp|P46779|RL28_HUMAN	P46779	RL28_HUMAN	0.1980282697054898	-0.14479724066075472	0.5408537800717343	0.14014501155057188	1.4130240349941428	0.20730876422802416	0.7518246943617424	0.24437375444087703	26.463192178240536
psvid_55753_sp|P00740|FA9_HUMAN	P00740	FA9_HUMAN	-0.14700210748888232	-0.40175611522782495	0.10775190025006032	0.10414190973999335	-1.411555711393196	0.20772040878349118	0.7518246943617424	0.1565154394453403	25.475792066659878
psvid_880596_sp|Q92616|GCN1_HUMAN	Q92616	GCN1_HUMAN	0.13054458220859555	-0.09581125780230712	0.35690042221949825	0.09253290917288413	1.410790856739327	0.2079351320445072	0.7518246943617424	0.12390972735480558	24.671728280970623
psvid_53394_sp|Q99624|S38A3_HUMAN	Q99624	S38A3_HUMAN	0.13356256609677164	-0.09813623743902922	0.3652613696325725	0.09471708060199162	1.4101212289049714	0.20812328832230886	0.7518246943617424	0.13035135646034876	22.91249168763155
psvid_80408_sp|P63220|RS21_HUMAN	P63220	RS21_HUMAN	0.31460080455272266	-0.2313022018653541	0.8605038109707994	0.22316187339215646	1.409742622118443	0.20822974058675947	0.7518246943617424	0.42485511556712957	25.37551163509019
psvid_31596_sp|P48449|LSS_HUMAN	P48449	LSS_HUMAN	-0.10177761590625423	-0.27846681480875984	0.07491158299625139	0.0722294843070438	-1.4090868415120181	0.20841424324055294	0.7518246943617424	0.044238263294913205	28.648789683566147
psvid_68503_sp|P00736|C1R_HUMAN	P00736	C1R_HUMAN	-0.10530508818753859	-0.28839374398645257	0.07778356761137539	0.0748455438870512	-1.4069653678574858	0.20901214065119514	0.7518246943617424	0.05914262544230651	25.565798446806998
psvid_28989_sp|TRFL_HUMAN|		TRFL_HUMAN	0.16598006946136223	-0.12275332989889964	0.4547134688216241	0.11803248114514885	1.406223675474978	0.2092215424115194	0.7518246943617424	0.19197922269549608	24.973844078468446
psvid_48599_sp|P00748|FA12_HUMAN	P00748	FA12_HUMAN	-0.12801728331993445	-0.3512255544456601	0.09519098780579122	0.09124620189926817	-1.4029875288536386	0.21013744780773178	0.7518246943617424	0.12002764589260036	25.835281741698296
psvid_86594_sp|Q53H12|AGK_HUMAN	Q53H12	AGK_HUMAN	0.15763182114675267	-0.11730037438310409	0.43256401667660943	0.11239063183190016	1.4025352342757411	0.21026574912580714	0.7518246943617424	0.1779041785904964	23.421967385029355
psvid_85558_sp|P11117|PPAL_HUMAN	P11117	PPAL_HUMAN	0.09794980298362432	-0.07299053537691982	0.26889014134416844	0.06987938461290172	1.401698133522773	0.21050339623433692	0.7518246943617424	0.02489142789128401	25.18906896563667
psvid_33474_sp|P80303|NUCB2_HUMAN	P80303	NUCB2_HUMAN	-0.19138648863246566	-0.525640676607551	0.14286769934261961	0.13664110638835275	-1.4006508999460165	0.21080104390694573	0.7518246943617424	0.2362936105319173	27.15486955477876
psvid_38200_sp|Q9H488|OFUT1_HUMAN	Q9H488	OFUT1_HUMAN	-0.14574498611765563	-0.4006942313199441	0.10920425908463283	0.10422172164350797	-1.3984127667376156	0.21143846066152075	0.7518246943617424	0.15672804500891377	25.85437079778589
psvid_34346_sp|LYSC_HUMAN|		LYSC_HUMAN	-0.2557594093665916	-0.7036698161489827	0.1921509974157996	0.1831030866550131	-1.3968055593102655	0.21189727506041028	0.7518246943617424	0.3395996013284623	23.880008681859188
psvid_52098_sp|Q8WUM4|PDC6I_HUMAN	Q8WUM4	PDC6I_HUMAN	0.10938871323106714	-0.08248224545084695	0.3012596719129812	0.07843569660836938	1.3946292053380571	0.21252001264992645	0.7518246943617424	0.07550916559517996	24.181822725326157
psvid_85706_sp|P04439|HLAA_HUMAN	P04439	HLAA_HUMAN	0.15220071691562165	-0.11495849418934123	0.4193599280205845	0.10921308243995027	1.3936125005839635	0.21281150186745038	0.7518246943617424	0.1697939312282141	23.644958759560346
psvid_72482_sp|P31513|FMO3_HUMAN	P31513	FMO3_HUMAN	-0.11235276113656223	-0.3096100252566377	0.08490450298351324	0.08063758595155042	-1.3933051170959816	0.21289970040469358	0.7518246943617424	0.08428711648882213	30.724133221107728
psvid_37319_sp|Q12983|BNIP3_HUMAN	Q12983	BNIP3_HUMAN	-0.14656286885846725	-0.40398813671017997	0.11086239899324546	0.1052339048454883	-1.3927343005437365	0.21306357500296969	0.7518246943617424	0.15941361522521227	20.865196800843435
psvid_70244_sp|Q6P179|ERAP2_HUMAN	Q6P179	ERAP2_HUMAN	0.4888896431527501	-0.37087800376904145	1.3486572900745415	0.3514678551194726	1.3909939018080741	0.21356393219745817	0.7518246943617424	0.6897536843520682	24.32655191147243
psvid_97118_sp|Q99735|MGST2_HUMAN	Q99735	MGST2_HUMAN	-0.12066290741077879	-0.33290884205413573	0.09158302723257816	0.08676486452358236	-1.390688593514522	0.21365181728273486	0.7518246943617424	0.1058867188609707	23.769986062871276
psvid_93297_sp|Q9UBM1|PEMT_HUMAN	Q9UBM1	PEMT_HUMAN	-0.5067358648291966	-1.3983661414076054	0.38489441174921213	0.3644931069348576	-1.3902481423873971	0.2137786621857196	0.7518246943617424	0.7163141858997736	20.548444527865776
psvid_65077_sp|P28062|PSB8_HUMAN	P28062	PSB8_HUMAN	-0.2482189275635447	-0.6851413099400676	0.18870345481297818	0.17861124821033822	-1.389716101593077	0.21393197530531483	0.7518246943617424	0.3298806555553086	21.790989651559045
psvid_70176_sp|O96000|NDUBA_HUMAN	O96000	NDUBA_HUMAN	-0.20208968083831902	-0.5589758651418932	0.15479650346525514	0.14589293068660916	-1.3851917285315587	0.21523976995214888	0.7518246943617424	0.2574931204418973	24.077463855844645
psvid_41984_sp|P20815|CP3A5_HUMAN	P20815	CP3A5_HUMAN	0.1094753684932881	-0.08386473100979944	0.3028154679963756	0.07903627256064555	1.3851281816116294	0.21525819021418482	0.7518246943617424	0.07797673733824974	26.190053524350603
psvid_91489_sp|P40616|ARL1_HUMAN	P40616	ARL1_HUMAN	-0.15383996179795734	-0.4255477644789582	0.11786784088304353	0.1110725193829061	-1.3850407162154734	0.21528354603783703	0.7518246943617424	0.17455750346370127	24.012887285174266
psvid_84835_sp|P12074|CX6A1_HUMAN	P12074	CX6A1_HUMAN	-0.11292535520635649	-0.31273165875073894	0.08688094833802598	0.0816796179729736	-1.3825401980175958	0.2160095844576631	0.7518246943617424	0.08821375931025331	24.22620779310622
psvid_51814_sp|P02790|HEMO_HUMAN	P02790	HEMO_HUMAN	-0.12221137398597737	-0.33858908206962113	0.09416633409766642	0.08845390871371495	-1.3816390452740757	0.21627178386906695	0.7518246943617424	0.11134266607387454	26.83567321658844
psvid_56180_sp|O15245|S22A1_HUMAN	O15245	S22A1_HUMAN	-0.11916302351154595	-0.33043511187569674	0.09210906485260481	0.08636676200810144	-1.3797324426770583	0.21682748223819803	0.7518246943617424	0.10457522932575906	24.236032559565743
