trend	scope	x_quantity	y_quantity	x	fitted	local_slope
pooled_psm	pooled_cells_all_common	lfq	log2_psm	23.6495	2.7035	0.984379
pooled_psm	pooled_cells_all_common	lfq	log2_psm	23.732	2.78429	0.973447
pooled_psm	pooled_cells_all_common	lfq	log2_psm	23.8144	2.86403	0.958748
pooled_psm	pooled_cells_all_common	lfq	log2_psm	23.8969	2.9424	0.94114
pooled_psm	pooled_cells_all_common	lfq	log2_psm	23.9793	3.01923	0.923011
pooled_psm	pooled_cells_all_common	lfq	log2_psm	24.0618	3.0946	0.907292
pooled_psm	pooled_cells_all_common	lfq	log2_psm	24.1442	3.16884	0.891728
pooled_psm	pooled_cells_all_common	lfq	log2_psm	24.2267	3.24165	0.873123
pooled_psm	pooled_cells_all_common	lfq	log2_psm	24.3091	3.31283	0.856407
pooled_psm	pooled_cells_all_common	lfq	log2_psm	24.3916	3.38288	0.84315
pooled_psm	pooled_cells_all_common	lfq	log2_psm	24.4741	3.45186	0.832641
pooled_psm	pooled_cells_all_common	lfq	log2_psm	24.5565	3.52019	0.824719
pooled_psm	pooled_cells_all_common	lfq	log2_psm	24.639	3.58786	0.819129
pooled_psm	pooled_cells_all_common	lfq	log2_psm	24.7214	3.65526	0.817235
pooled_psm	pooled_cells_all_common	lfq	log2_psm	24.8039	3.72263	0.817532
pooled_psm	pooled_cells_all_common	lfq	log2_psm	24.8863	3.79008	0.818965
pooled_psm	pooled_cells_all_common	lfq	log2_psm	24.9688	3.85768	0.820039
pooled_psm	pooled_cells_all_common	lfq	log2_psm	25.0512	3.92531	0.819139
pooled_psm	pooled_cells_all_common	lfq	log2_psm	25.1337	3.99276	0.816673
pooled_psm	pooled_cells_all_common	lfq	log2_psm	25.2161	4.05998	0.814186
pooled_psm	pooled_cells_all_common	lfq	log2_psm	25.2986	4.12702	0.812921
pooled_psm	pooled_cells_all_common	lfq	log2_psm	25.381	4.19403	0.812727
pooled_psm	pooled_cells_all_common	lfq	log2_psm	25.4635	4.26105	0.812112
pooled_psm	pooled_cells_all_common	lfq	log2_psm	25.5459	4.32795	0.809486
pooled_psm	pooled_cells_all_common	lfq	log2_psm	25.6284	4.39453	0.803852
pooled_psm	pooled_cells_all_common	lfq	log2_psm	25.7108	4.46051	0.796023
pooled_psm	pooled_cells_all_common	lfq	log2_psm	25.7933	4.5258	0.786932
pooled_psm	pooled_cells_all_common	lfq	log2_psm	25.8757	4.59028	0.775201
pooled_psm	pooled_cells_all_common	lfq	log2_psm	25.9582	4.65363	0.760946
pooled_psm	pooled_cells_all_common	lfq	log2_psm	26.0406	4.71576	0.746471
pooled_psm	pooled_cells_all_common	lfq	log2_psm	26.1231	4.77673	0.733165
pooled_psm	pooled_cells_all_common	lfq	log2_psm	26.2055	4.83667	0.721588
pooled_psm	pooled_cells_all_common	lfq	log2_psm	26.288	4.89572	0.711765
pooled_psm	pooled_cells_all_common	lfq	log2_psm	26.3705	4.95404	0.704612
pooled_psm	pooled_cells_all_common	lfq	log2_psm	26.4529	5.01192	0.699069
pooled_psm	pooled_cells_all_common	lfq	log2_psm	26.5354	5.06932	0.693691
pooled_psm	pooled_cells_all_common	lfq	log2_psm	26.6178	5.12631	0.689486
pooled_psm	pooled_cells_all_common	lfq	log2_psm	26.7003	5.18302	0.685621
pooled_psm	pooled_cells_all_common	lfq	log2_psm	26.7827	5.23937	0.682452
pooled_psm	pooled_cells_all_common	lfq	log2_psm	26.8652	5.29556	0.681721
pooled_psm	pooled_cells_all_common	lfq	log2_psm	26.9476	5.35179	0.683307
pooled_psm	pooled_cells_all_common	lfq	log2_psm	27.0301	5.40824	0.686331
pooled_psm	pooled_cells_all_common	lfq	log2_psm	27.1125	5.46497	0.689985
pooled_psm	pooled_cells_all_common	lfq	log2_psm	27.195	5.52202	0.694411
pooled_psm	pooled_cells_all_common	lfq	log2_psm	27.2774	5.57948	0.699692
pooled_psm	pooled_cells_all_common	lfq	log2_psm	27.3599	5.6374	0.705681
pooled_psm	pooled_cells_all_common	lfq	log2_psm	27.4423	5.69585	0.711733
pooled_psm	pooled_cells_all_common	lfq	log2_psm	27.5248	5.75477	0.717294
pooled_psm	pooled_cells_all_common	lfq	log2_psm	27.6072	5.81413	0.722628
pooled_psm	pooled_cells_all_common	lfq	log2_psm	27.6897	5.87393	0.728039
pooled_psm	pooled_cells_all_common	lfq	log2_psm	27.7721	5.93419	0.733525
pooled_psm	pooled_cells_all_common	lfq	log2_psm	27.8546	5.99489	0.739392
pooled_psm	pooled_cells_all_common	lfq	log2_psm	27.937	6.05612	0.746023
pooled_psm	pooled_cells_all_common	lfq	log2_psm	28.0195	6.11792	0.753467
pooled_psm	pooled_cells_all_common	lfq	log2_psm	28.1019	6.18037	0.76189
pooled_psm	pooled_cells_all_common	lfq	log2_psm	28.1844	6.24356	0.772724
pooled_psm	pooled_cells_all_common	lfq	log2_psm	28.2668	6.3078	0.784705
pooled_psm	pooled_cells_all_common	lfq	log2_psm	28.3493	6.37296	0.795181
pooled_psm	pooled_cells_all_common	lfq	log2_psm	28.4318	6.43892	0.804078
pooled_psm	pooled_cells_all_common	lfq	log2_psm	28.5142	6.50555	0.811036
pooled_psm	pooled_cells_all_common	lfq	log2_psm	28.5967	6.57267	0.816016
pooled_psm	pooled_cells_all_common	lfq	log2_psm	28.6791	6.64012	0.819427
pooled_psm	pooled_cells_all_common	lfq	log2_psm	28.7616	6.70779	0.821539
pooled_psm	pooled_cells_all_common	lfq	log2_psm	28.844	6.77559	0.822543
pooled_psm	pooled_cells_all_common	lfq	log2_psm	28.9265	6.84344	0.822809
pooled_psm	pooled_cells_all_common	lfq	log2_psm	29.0089	6.91128	0.822615
pooled_psm	pooled_cells_all_common	lfq	log2_psm	29.0914	6.97909	0.822133
pooled_psm	pooled_cells_all_common	lfq	log2_psm	29.1738	7.04685	0.821489
pooled_psm	pooled_cells_all_common	lfq	log2_psm	29.2563	7.11456	0.820788
pooled_psm	pooled_cells_all_common	lfq	log2_psm	29.3387	7.1822	0.820122
pooled_psm	pooled_cells_all_common	lfq	log2_psm	29.4212	7.2498	0.819534
pooled_psm	pooled_cells_all_common	lfq	log2_psm	29.5036	7.31735	0.819044
pooled_psm	pooled_cells_all_common	lfq	log2_psm	29.5861	7.38486	0.818681
pooled_psm	pooled_cells_all_common	lfq	log2_psm	29.6685	7.45235	0.81846
pooled_psm	pooled_cells_all_common	lfq	log2_psm	29.751	7.51983	0.818379
pooled_psm	pooled_cells_all_common	lfq	log2_psm	29.8334	7.5873	0.818443
pooled_psm	pooled_cells_all_common	lfq	log2_psm	29.9159	7.65479	0.818649
pooled_psm	pooled_cells_all_common	lfq	log2_psm	29.9983	7.7223	0.819003
pooled_psm	pooled_cells_all_common	lfq	log2_psm	30.0808	7.78985	0.819489
pooled_psm	pooled_cells_all_common	lfq	log2_psm	30.1632	7.85744	0.820082
pooled_psm	pooled_cells_all_common	lfq	log2_psm	30.2457	7.92509	0.820796
pooled_psm	pooled_cells_all_common	lfq	log2_psm	30.3282	7.99279	0.821623
pooled_psm	pooled_cells_all_common	lfq	log2_psm	30.4106	8.06057	0.82254
pooled_psm	pooled_cells_all_common	lfq	log2_psm	30.4931	8.12843	0.823525
pooled_psm	pooled_cells_all_common	lfq	log2_psm	30.5755	8.19638	0.824645
pooled_psm	pooled_cells_all_common	lfq	log2_psm	30.658	8.26442	0.825831
pooled_psm	pooled_cells_all_common	lfq	log2_psm	30.7404	8.33256	0.82706
pooled_psm	pooled_cells_all_common	lfq	log2_psm	30.8229	8.40081	0.828386
pooled_psm	pooled_cells_all_common	lfq	log2_psm	30.9053	8.46916	0.82974
pooled_psm	pooled_cells_all_common	lfq	log2_psm	30.9878	8.53763	0.831127
pooled_psm	pooled_cells_all_common	lfq	log2_psm	31.0702	8.60622	0.832584
pooled_psm	pooled_cells_all_common	lfq	log2_psm	31.1527	8.67493	0.834099
