comparison	subset	scope	sample_id	method	n_cells	n_proteins	r	ci_low	ci_high	batch
psm_vs_nsaf	complete8	per_sample	AZ942	spearman	1648	1648	0.866743	0.851397	0.880091	B2022-03-18
psm_vs_nsaf	complete8	protein_mean	mean_over_runs	spearman	1648	1648	0.824606	0.807056	0.841177	
psm_vs_nsaf	complete8	pooled_cells	all	pearson	13184	1648	0.851133	0.837043	0.86483	
psm_vs_nsaf	complete8	per_sample	AZ905	pearson	1648	1648	0.83153	0.813883	0.848002	B2021-05-06
psm_vs_nsaf	complete8	per_sample	AZ907	pearson	1648	1648	0.848598	0.833403	0.86217	B2021-05-06
psm_vs_nsaf	complete8	per_sample	AZ909	pearson	1648	1648	0.840989	0.823744	0.85609	B2021-05-06
psm_vs_nsaf	complete8	per_sample	AZ906	pearson	1648	1648	0.838593	0.821555	0.853381	B2021-05-06
psm_vs_nsaf	complete8	per_sample	AZ908	pearson	1648	1648	0.861588	0.846727	0.874477	B2021-05-06
psm_vs_nsaf	complete8	per_sample	AZ910	pearson	1648	1648	0.84986	0.835076	0.864352	B2021-05-06
psm_vs_nsaf	complete8	per_sample	AZ941	pearson	1648	1648	0.865238	0.851789	0.877967	B2022-03-18
psm_vs_nsaf	complete8	per_sample	AZ942	pearson	1648	1648	0.872528	0.859608	0.884524	B2022-03-18
psm_vs_nsaf	complete8	protein_mean	mean_over_runs	pearson	1648	1648	0.836533	0.819331	0.851886	
lfq_per_length_vs_nsaf	complete8	pooled_cells	all	spearman	13184	1648	0.88628	0.86922	0.900045	
lfq_per_length_vs_nsaf	complete8	per_sample	AZ905	spearman	1648	1648	0.886653	0.867378	0.90227	B2021-05-06
lfq_per_length_vs_nsaf	complete8	per_sample	AZ907	spearman	1648	1648	0.893456	0.877007	0.907957	B2021-05-06
lfq_per_length_vs_nsaf	complete8	per_sample	AZ909	spearman	1648	1648	0.879026	0.860217	0.895032	B2021-05-06
lfq_per_length_vs_nsaf	complete8	per_sample	AZ906	spearman	1648	1648	0.887335	0.869477	0.902384	B2021-05-06
lfq_per_length_vs_nsaf	complete8	per_sample	AZ908	spearman	1648	1648	0.887869	0.870748	0.902601	B2021-05-06
lfq_per_length_vs_nsaf	complete8	per_sample	AZ910	spearman	1648	1648	0.877241	0.857483	0.894736	B2021-05-06
lfq_per_length_vs_nsaf	complete8	per_sample	AZ941	spearman	1648	1648	0.89358	0.876467	0.90756	B2022-03-18
lfq_per_length_vs_nsaf	complete8	per_sample	AZ942	spearman	1648	1648	0.887231	0.870536	0.9023	B2022-03-18
lfq_per_length_vs_nsaf	complete8	protein_mean	mean_over_runs	spearman	1648	1648	0.904146	0.887628	0.918375	
lfq_per_length_vs_nsaf	complete8	pooled_cells	all	pearson	13184	1648	0.870082	0.854351	0.884427	
lfq_per_length_vs_nsaf	complete8	per_sample	AZ905	pearson	1648	1648	0.872705	0.853207	0.889246	B2021-05-06
lfq_per_length_vs_nsaf	complete8	per_sample	AZ907	pearson	1648	1648	0.875139	0.858321	0.890413	B2021-05-06
lfq_per_length_vs_nsaf	complete8	per_sample	AZ909	pearson	1648	1648	0.866629	0.848727	0.882956	B2021-05-06
lfq_per_length_vs_nsaf	complete8	per_sample	AZ906	pearson	1648	1648	0.875811	0.858527	0.890186	B2021-05-06
lfq_per_length_vs_nsaf	complete8	per_sample	AZ908	pearson	1648	1648	0.871168	0.85315	0.886427	B2021-05-06
lfq_per_length_vs_nsaf	complete8	per_sample	AZ910	pearson	1648	1648	0.866652	0.848167	0.883907	B2021-05-06
lfq_per_length_vs_nsaf	complete8	per_sample	AZ941	pearson	1648	1648	0.874507	0.858153	0.889179	B2022-03-18
lfq_per_length_vs_nsaf	complete8	per_sample	AZ942	pearson	1648	1648	0.8693	0.852536	0.884592	B2022-03-18
lfq_per_length_vs_nsaf	complete8	protein_mean	mean_over_runs	pearson	1648	1648	0.894902	0.877424	0.910019	
