protein_group	AZ905	AZ907	AZ909	AZ906	AZ908	AZ910	AZ941	AZ942
sp|Q92896|GSLG1_HUMAN	20	20	29	20	19	15	7	8
sp|Q5SWX8|ODR4_HUMAN	17	17	16	13	13	15	28	26
sp|Q9BY64|UDB28_HUMAN	15	22	16	19	18	18	25	24
sp|Q9BYX7|ACTBM_HUMAN	24	23	14	21	16	17	22	20
sp|P30048|PRDX3_HUMAN	18	29	8	17	29	3	13	15
sp|Q9BWS9|CHID1_HUMAN	23	8	17	19	5	18	22	23
sp|P14866|HNRPL_HUMAN	16	15	24	21	15	24	4	3
sp|P11168|GTR2_HUMAN	24	14	17	21	17	20	24	14
sp|Q08AH3|ACS2A_HUMAN	29	30	9	23	21	9	23	21
sp|Q6UXH1|CREL2_HUMAN	20	20	16	22	17	16	25	21
sp|P20042|IF2B_HUMAN	21	18	21	19	13	19	16	18
sp|Q5T2W1|NHRF3_HUMAN	25	15	22	22	13	19	11	15
sp|O00400|ACATN_HUMAN	15	17	23	12	14	23	18	14
sp|Q9UF12|HYPDH_HUMAN	15	28	14	13	25	13	13	14
sp|Q5T9A4|ATD3B_HUMAN	24	12	12	19	7	9	27	23
sp|Q86YS6|RAB43_HUMAN	27	10	21	18	11	20	29	24
sp|O43747|AP1G1_HUMAN	20	18	20	18	15	23	5	6
sp|O60884|DNJA2_HUMAN	21	21	16	21	17	16	17	19
sp|Q8N1G4|LRC47_HUMAN	25	22	19	21	11	19	10	6
sp|P48643|TCPE_HUMAN	18	21	22	15	21	19	6	3
sp|Q709F0|ACD11_HUMAN	18	20	18	14	15	19	20	17
sp|A0A2R8Y4L2|RA1L3_HUMAN	17	12	24	16	10	28	6	8
sp|P0C7P4|UCRIL_HUMAN	23	15	17	22	10	14	20	14
sp|P18669|PGAM1_HUMAN	17	21	15	17	18	13	21	17
sp|P29401|TKT_HUMAN	20	29	14	15	30	10	5	8
sp|O95342|ABCBB_HUMAN	29	5	12	29	4	7	13	11
sp|Q14258|TRI25_HUMAN	4	26	23	4	22	23	4	1
sp|O75153|CLU_HUMAN	25	22	22	14	10	15	13	16
sp|Q8N5I4|DHRSX_HUMAN	12	12	12	12	9	12	26	27
sp|P50395|GDIB_HUMAN	25	16	20	17	19	16	11	17
sp|P20645|MPRD_HUMAN	22	19	21	19	13	17	11	12
sp|CAH2_HUMAN|	18	22	16	12	21	13	18	15
sp|P00918|CAH2_HUMAN	18	22	16	12	21	13	18	15
sp|O95793|STAU1_HUMAN	17	13	24	20	9	17	21	17
sp|Q15029|U5S1_HUMAN	18	16	22	14	18	21	5	6
sp|Q5JWF2|GNAS1_HUMAN	34	14	19	25	12	15	11	12
sp|P63092|GNAS2_HUMAN	34	14	19	25	12	15	11	12
sp|P18077|RL35A_HUMAN	19	14	18	24	13	17	18	14
sp|P13645|K1C10_HUMAN	18	9	23	11	28	15	2	20
sp|K1C10_HUMAN|	18	9	23	11	28	15	2	20
sp|O75955|FLOT1_HUMAN	25	17	17	19	13	13	13	15
sp|P35222|CTNB1_HUMAN	30	13	19	29	14	13	12	14
sp|Q9NR77|PXMP2_HUMAN	12	16	17	13	19	23	10	16
sp|Q9H361|PABP3_HUMAN	11	5	21	15	3	26	16	16
sp|O15488|GLYG2_HUMAN	5	12	26	6	6	31	15	20
sp|Q6FI13|H2A2A_HUMAN	13	23	17	9	15	17	34	15
sp|Q16777|H2A2C_HUMAN	13	23	17	9	15	17	34	15
sp|P51589|CP2J2_HUMAN	17	20	18	12	12	15	20	20
sp|P84085|ARF5_HUMAN	17	20	19	17	16	16	15	13
sp|P11117|PPAL_HUMAN	24	16	11	18	15	15	14	20
sp|Q9BRK5|CAB45_HUMAN	20	18	22	16	15	16	9	12
sp|P02743|SAMP_HUMAN	26	17	14	22	19	17	6	9
sp|Q16836|HCDH_HUMAN	19	24	17	15	21	11	15	14
sp|P22090|RS4Y1_HUMAN	21	20	16	17	14	17	16	14
sp|O60506|HNRPQ_HUMAN	14	10	25	13	11	24	12	13
sp|O14880|MGST3_HUMAN	24	17	10	28	9	11	41	41
sp|O75369|FLNB_HUMAN	36	6	13	29	8	19	3	4
sp|A0FGR8|ESYT2_HUMAN	15	17	14	18	10	12	25	21
sp|P07814|SYEP_HUMAN	16	11	20	11	14	30	3	4
sp|O14773|TPP1_HUMAN	14	17	14	22	25	16	9	5
sp|P05090|APOD_HUMAN	19	19	16	21	13	16	16	14
sp|P30613|KPYR_HUMAN	22	20	16	13	16	17	14	12
sp|P51148|RAB5C_HUMAN	20	16	18	16	9	16	32	23
sp|P62258|1433E_HUMAN	23	16	15	18	13	17	20	18
sp|Q9H2X3|CLC4M_HUMAN	31	16	13	27	17	9	20	17
sp|P34913|HYES_HUMAN	26	17	13	22	13	14	24	17
sp|P11908|PRPS2_HUMAN	30	11	17	30	9	16	10	11
sp|Q15043|S39AE_HUMAN	22	16	16	20	12	17	17	15
sp|O15371|EIF3D_HUMAN	16	18	20	11	13	22	3	3
sp|P00740|FA9_HUMAN	21	22	11	20	17	11	27	15
sp|P61254|RL26_HUMAN	25	15	14	15	12	16	26	30
sp|Q8WXH0|SYNE2_HUMAN	20	18	20	11	16	9	16	21
sp|Q92954|PRG4_HUMAN	15	23	13	16	24	10	5	3
sp|P62266|RS23_HUMAN	20	10	10	22	15	15	15	32
sp|Q9NX63|MIC19_HUMAN	23	13	5	20	13	9	17	15
sp|Q9UNX3|RL26L_HUMAN	23	13	12	14	9	13	26	27
sp|P60953|CDC42_HUMAN	14	15	16	18	12	19	21	17
sp|P46778|RL21_HUMAN	22	16	15	17	13	14	13	20
sp|P05156|CFAI_HUMAN	17	20	14	19	15	13	18	10
sp|P43490|NAMPT_HUMAN	20	19	10	14	18	17	10	9
sp|Q99747|SNAG_HUMAN	23	13	20	16	13	16	13	15
sp|Q8IZ81|ELMD2_HUMAN	18	15	14	16	10	14	21	11
sp|Q9Y4F1|FARP1_HUMAN	20	6	15	21	4	11	18	18
sp|P01893|HLAH_HUMAN	12	19	15	16	15	20	9	9
sp|P60866|RS20_HUMAN	23	12	15	17	13	19	17	16
sp|O95674|CDS2_HUMAN	16	14	16	17	9	20	20	23
sp|Q9Y3A6|TMED5_HUMAN	15	19	17	16	10	20	9	10
sp|Q9NRZ7|PLCC_HUMAN	20	14	14	11	13	11	17	20
sp|P35749|MYH11_HUMAN	20	13	15	23	8	13	18	17
sp|P48444|COPD_HUMAN	7	35	9	5	29	7	3	3
sp|Q8TD47|RS4Y2_HUMAN	19	16	16	16	14	17	15	12
sp|O95563|MPC2_HUMAN	21	16	16	21	10	14	18	21
sp|Q32P51|RA1L2_HUMAN	16	10	20	13	8	25	7	8
sp|Q6IAN0|PEXRP_HUMAN	13	18	11	13	13	15	22	22
sp|Q02218|ODO1_HUMAN	16	21	25	16	14	25	0	2
sp|P33908|MA1A1_HUMAN	18	21	17	16	16	10	5	4
sp|Q9HCC0|MCCB_HUMAN	17	32	5	13	20	7	4	3
sp|O14579|COPE_HUMAN	9	29	11	7	23	14	7	4
sp|P50226|ST1A2_HUMAN	20	18	7	19	11	9	15	16
sp|Q99714|HCD2_HUMAN	19	21	5	16	18	8	13	11
sp|O43390|HNRPR_HUMAN	16	13	22	12	6	24	6	5
sp|P22059|OSBP1_HUMAN	10	16	19	12	13	16	17	18
sp|Q96LZ7|RMD2_HUMAN	21	12	15	18	10	13	30	26
sp|P00505|AATM_HUMAN	27	26	9	27	14	9	6	3
sp|P35613|BASI_HUMAN	18	13	17	18	13	15	20	17
sp|Q9BXS5|AP1M1_HUMAN	14	18	19	8	19	18	4	3
sp|O00461|GOLI4_HUMAN	18	14	21	19	10	16	3	5
sp|Q9NQ94|A1CF_HUMAN	10	8	21	9	4	31	7	7
sp|P31943|HNRH1_HUMAN	11	12	24	14	8	23	3	4
sp|Q14117|DPYS_HUMAN	20	20	16	14	17	10	18	13
sp|Q14254|FLOT2_HUMAN	20	16	15	21	14	10	15	13
sp|Q7L576|CYFP1_HUMAN	13	18	22	14	8	13	13	12
sp|Q8N766|EMC1_HUMAN	15	15	14	21	11	21	8	6
sp|O15523|DDX3Y_HUMAN	15	20	17	13	17	16	4	3
sp|Q15365|PCBP1_HUMAN	17	15	18	14	12	19	11	11
sp|P09669|COX6C_HUMAN	20	14	14	19	18	14	12	15
sp|Q08257|QOR_HUMAN	17	23	12	12	13	13	11	8
sp|Q6P1M0|S27A4_HUMAN	13	12	9	17	6	4	18	24
sp|Q9C0E8|LNP_HUMAN	25	18	11	16	15	11	20	18
sp|A6NCS6|CB072_HUMAN	23	10	19	21	8	15	16	17
sp|O14874|BCKD_HUMAN	15	22	14	11	15	17	8	8
sp|P56937|DHB7_HUMAN	13	17	15	13	14	13	21	18
sp|P31946|1433B_HUMAN	21	13	12	17	12	11	16	17
sp|Q9UKV5|AMFR_HUMAN	21	18	13	19	13	11	20	19
sp|P84098|RL19_HUMAN	20	10	15	17	13	16	20	23
sp|O75533|SF3B1_HUMAN	18	15	18	12	20	21	3	2
sp|O75911|DHRS3_HUMAN	11	14	14	15	16	16	23	26
sp|P60660|MYL6_HUMAN	22	13	12	25	14	13	15	14
sp|P09543|CN37_HUMAN	20	17	12	18	12	16	14	15
sp|Q8TBA6|GOGA5_HUMAN	15	7	19	17	11	15	14	14
sp|P08134|RHOC_HUMAN	18	16	14	14	13	14	17	16
sp|Q9Y2Q3|GSTK1_HUMAN	18	19	13	15	17	11	18	15
sp|P61604|CH10_HUMAN	18	16	13	16	15	15	14	14
sp|Q9HD45|TM9S3_HUMAN	21	14	15	17	8	18	15	8
sp|Q8WVM8|SCFD1_HUMAN	17	14	20	12	9	10	28	21
sp|P00480|OTC_HUMAN	18	23	8	16	19	11	15	14
sp|Q14240|IF4A2_HUMAN	22	17	13	16	13	14	12	14
sp|Q9UBU6|FA8A1_HUMAN	15	14	16	15	13	15	17	18
sp|P0CG38|POTEI_HUMAN	19	17	11	16	14	13	20	23
sp|Q16778|H2B2E_HUMAN	11	19	18	7	13	17	11	13
sp|P23527|H2B1O_HUMAN	11	19	18	7	13	17	11	13
sp|P33778|H2B1B_HUMAN	11	19	18	7	13	17	11	13
sp|P06899|H2B1J_HUMAN	11	19	18	7	13	17	11	13
sp|P20671|H2A1D_HUMAN	13	23	15	9	14	15	10	7
sp|Q96KK5|H2A1H_HUMAN	13	23	15	9	14	15	10	7
sp|P0C0S8|H2A1_HUMAN	13	23	15	9	14	15	10	7
sp|Q99878|H2A1J_HUMAN	13	23	15	9	14	15	10	7
sp|Q9BTM1|H2AJ_HUMAN	13	23	15	9	14	15	10	7
sp|Q9H3N1|TMX1_HUMAN	16	17	13	13	16	14	15	18
sp|Q9Y285|SYFA_HUMAN	29	3	5	29	3	5	18	20
sp|P0DTE5|UD2A2_HUMAN	14	28	14	13	14	11	12	19
sp|P38606|VATA_HUMAN	20	14	15	19	12	15	9	11
sp|P63000|RAC1_HUMAN	14	15	14	14	11	19	15	11
sp|Q15907|RB11B_HUMAN	20	14	13	17	11	14	22	18
sp|Q9BQE5|APOL2_HUMAN	11	9	19	14	10	18	18	20
sp|P57772|SELB_HUMAN	18	11	15	19	9	15	20	13
sp|O43826|G6PT1_HUMAN	18	12	13	16	12	14	24	28
sp|P51571|SSRD_HUMAN	17	15	14	13	13	17	12	12
sp|Q96A26|F162A_HUMAN	16	15	14	19	9	13	14	16
sp|Q9H1K4|GHC2_HUMAN	21	10	14	21	5	7	15	16
sp|Q7L2H7|EIF3M_HUMAN	15	15	23	12	7	14	15	6
sp|Q8WWQ8|STAB2_HUMAN	21	18	4	18	17	3	8	7
sp|P09429|HMGB1_HUMAN	14	7	22	9	12	18	16	14
sp|O43169|CYB5B_HUMAN	18	9	16	13	12	17	16	23
sp|P23526|SAHH_HUMAN	15	14	13	18	13	18	8	11
sp|Q99653|CHP1_HUMAN	21	16	13	15	13	12	19	13
sp|O76054|S14L2_HUMAN	12	19	12	14	19	14	8	8
sp|P45954|ACDSB_HUMAN	17	17	11	17	19	6	12	11
sp|E9PAV3|NACAM_HUMAN	23	12	12	18	9	16	14	22
sp|Q13765|NACA_HUMAN	23	12	12	18	9	16	14	22
sp|Q14103|HNRPD_HUMAN	13	10	18	12	8	22	7	8
sp|P36957|ODO2_HUMAN	15	16	20	16	12	11	9	8
sp|P62854|RS26_HUMAN	19	13	12	20	12	13	17	22
sp|Q92887|MRP2_HUMAN	20	3	13	20	2	6	16	12
sp|P24557|THAS_HUMAN	20	14	11	13	16	13	20	18
sp|P29966|MARCS_HUMAN	11	15	15	11	6	20	17	19
sp|P63104|1433Z_HUMAN	17	15	15	13	12	12	16	12
sp|P31512|FMO4_HUMAN	14	14	14	14	9	15	18	13
sp|Q56VL3|OCAD2_HUMAN	24	13	13	21	17	12	12	11
sp|O15372|EIF3H_HUMAN	16	15	18	12	8	18	5	6
sp|Q00839|HNRPU_HUMAN	10	12	20	8	12	20	6	5
sp|Q96RQ3|MCCA_HUMAN	11	30	3	7	20	3	5	1
sp|Q9P2B2|FPRP_HUMAN	19	7	18	15	5	20	9	10
sp|P04908|H2A1B_HUMAN	10	21	14	8	15	15	10	7
sp|Q93077|H2A1C_HUMAN	10	21	14	8	15	15	10	7
sp|Q7L7L0|H2A3_HUMAN	10	21	14	8	15	15	10	7
sp|Q15286|RAB35_HUMAN	15	11	14	12	14	15	20	20
sp|Q92604|LGAT1_HUMAN	14	16	13	13	20	12	17	13
sp|Q9NRV9|HEBP1_HUMAN	20	16	11	18	13	11	18	13
sp|P40925|MDHC_HUMAN	12	14	13	18	12	14	13	9
sp|Q96M27|PRRC1_HUMAN	12	18	14	11	17	16	2	1
sp|Q9UMX5|NENF_HUMAN	26	15	13	20	12	9	12	9
sp|P43155|CACP_HUMAN	12	21	17	8	17	19	5	6
sp|Q5K4L6|S27A3_HUMAN	11	18	14	9	15	14	15	11
sp|O75923|DYSF_HUMAN	34	16	10	25	7	6	3	3
sp|P30043|BLVRB_HUMAN	15	17	15	12	12	12	14	15
sp|Q7Z406|MYH14_HUMAN	21	13	8	17	15	11	8	10
sp|Q2TAA5|ALG11_HUMAN	11	14	15	13	3	12	21	19
sp|Q969H8|MYDGF_HUMAN	13	11	15	15	13	15	16	11
sp|P62491|RB11A_HUMAN	16	12	11	15	10	13	19	15
sp|O14818|PSA7_HUMAN	16	11	21	14	9	14	4	3
sp|O95816|BAG2_HUMAN	13	13	12	15	16	11	14	13
sp|P05186|PPBT_HUMAN	20	1	11	17	7	12	11	14
sp|P52597|HNRPF_HUMAN	9	9	20	11	9	22	1	2
sp|P61981|1433G_HUMAN	13	15	14	11	15	9	14	13
sp|P21281|VATB2_HUMAN	19	17	15	13	10	12	10	10
sp|Q03591|FHR1_HUMAN	18	11	17	16	9	13	12	13
sp|Q9NZB2|F120A_HUMAN	18	12	17	10	9	12	8	17
sp|P30085|KCY_HUMAN	14	16	10	11	17	14	13	12
sp|A6NGU5|GGT3_HUMAN	13	8	16	16	9	15	12	14
sp|O75131|CPNE3_HUMAN	12	1	15	12	1	18	15	13
sp|P09382|LEG1_HUMAN	18	17	9	17	15	11	5	4
sp|P19404|NDUV2_HUMAN	18	9	11	19	10	12	27	24
sp|Q9H2A2|AL8A1_HUMAN	10	22	16	7	15	13	1	2
sp|P35609|ACTN2_HUMAN	24	14	12	22	7	10	12	17
sp|Q8N257|H2B3B_HUMAN	10	17	16	7	12	15	10	12
sp|Q86VR2|RETR3_HUMAN	13	13	15	17	12	13	10	9
sp|Q99497|PARK7_HUMAN	17	12	12	16	13	13	15	13
sp|P46779|RL28_HUMAN	16	12	16	14	13	10	10	9
sp|P01042|KNG1_HUMAN	21	14	10	17	16	8	19	13
sp|P25786|PSA1_HUMAN	14	16	18	11	13	12	3	3
sp|P07737|PROF1_HUMAN	16	13	12	15	12	13	13	16
sp|P07919|QCR6_HUMAN	19	15	10	16	8	11	22	22
sp|Q99424|ACOX2_HUMAN	12	14	11	10	11	5	23	22
sp|P09497|CLCB_HUMAN	14	12	11	14	13	16	12	10
sp|Q9Y6M9|NDUB9_HUMAN	17	15	12	14	10	11	19	17
sp|P16403|H12_HUMAN	6	16	10	3	15	16	11	14
sp|Q9Y3U8|RL36_HUMAN	9	9	11	11	13	15	14	15
sp|O15120|PLCB_HUMAN	9	9	12	6	3	9	17	21
sp|P13804|ETFA_HUMAN	15	14	9	13	15	7	10	11
sp|P49585|PCY1A_HUMAN	6	15	14	9	17	16	3	5
sp|Q2TV78|MST1L_HUMAN	11	15	15	14	9	15	5	6
sp|Q8NBJ5|GT251_HUMAN	18	13	10	15	13	16	11	6
sp|Q9Y3E5|PTH2_HUMAN	15	10	13	14	10	11	24	28
sp|P00439|PH4H_HUMAN	10	20	9	13	19	9	4	3
sp|P20290|BTF3_HUMAN	20	9	9	21	9	14	14	19
sp|O14678|ABCD4_HUMAN	10	10	6	13	9	3	17	20
sp|P55899|FCGRN_HUMAN	16	20	12	13	9	11	8	5
sp|O95870|ABHGA_HUMAN	15	13	12	10	7	9	16	21
sp|P38919|IF4A3_HUMAN	13	16	16	8	11	14	4	4
sp|Q06323|PSME1_HUMAN	11	17	15	15	9	11	9	10
sp|Q16531|DDB1_HUMAN	19	15	14	14	8	11	9	11
sp|O95169|NDUB8_HUMAN	22	10	12	18	8	11	15	19
sp|O60613|SEP15_HUMAN	14	12	13	11	11	15	12	10
sp|P23246|SFPQ_HUMAN	14	14	13	9	16	14	3	2
sp|P30046|DOPD_HUMAN	14	9	11	17	17	12	11	14
sp|P22033|MUTA_HUMAN	17	21	5	16	13	4	12	10
sp|P57088|TMM33_HUMAN	14	15	14	15	9	7	21	23
sp|Q9Y315|DEOC_HUMAN	48	2	5	39	1	6	18	20
sp|P43307|SSRA_HUMAN	16	10	14	14	11	9	22	22
sp|Q96DG6|CMBL_HUMAN	15	12	11	17	12	11	13	8
sp|Q9H0U3|MAGT1_HUMAN	16	15	16	10	9	11	8	7
sp|Q9HAV0|GBB4_HUMAN	13	12	9	13	7	11	17	19
sp|Q9NUI1|DECR2_HUMAN	9	13	16	7	14	15	5	8
sp|Q9UM00|TMCO1_HUMAN	11	15	14	13	11	11	13	12
sp|P62330|ARF6_HUMAN	15	17	14	13	11	7	16	13
sp|O14653|GOSR2_HUMAN	18	15	8	12	11	8	13	18
sp|Q8N490|PNKD_HUMAN	11	9	13	8	7	9	25	22
sp|P07225|PROS_HUMAN	13	16	8	11	16	6	10	6
sp|P10412|H14_HUMAN	6	15	10	3	14	15	11	14
sp|P16402|H13_HUMAN	6	15	10	3	14	15	11	14
sp|O75915|PRAF3_HUMAN	19	11	11	12	11	13	13	17
sp|O95202|LETM1_HUMAN	20	6	11	16	5	12	17	15
sp|Q9NX40|OCAD1_HUMAN	17	12	10	13	12	13	14	13
sp|O75822|EIF3J_HUMAN	10	15	13	13	8	17	4	2
sp|Q9Y5U8|MPC1_HUMAN	20	7	8	20	7	4	11	12
sp|P08697|A2AP_HUMAN	16	16	11	16	11	9	13	10
sp|P13671|CO6_HUMAN	25	10	14	23	17	11	11	6
sp|O15027|SC16A_HUMAN	31	4	10	25	8	9	4	4
sp|P42677|RS27_HUMAN	18	8	8	17	8	10	14	13
sp|P46776|RL27A_HUMAN	18	10	10	12	11	11	13	13
sp|Q12905|ILF2_HUMAN	17	9	17	13	4	16	6	7
sp|Q96HS1|PGAM5_HUMAN	18	15	12	15	12	7	9	10
sp|P55795|HNRH2_HUMAN	10	8	21	13	6	16	2	3
sp|Q9UHE5|NAT8_HUMAN	9	10	9	9	6	11	16	18
sp|P11279|LAMP1_HUMAN	13	11	10	15	13	13	11	15
sp|P49419|AL7A1_HUMAN	13	13	9	14	5	9	14	16
sp|O14656|TOR1A_HUMAN	16	13	11	14	12	12	9	5
sp|Q96HD1|CREL1_HUMAN	13	12	14	14	11	13	10	11
sp|Q9BU23|LMF2_HUMAN	10	14	14	12	13	11	9	6
sp|P06702|S10A9_HUMAN	13	12	28	14	13	28	0	0
sp|Q96EY1|DNJA3_HUMAN	11	18	11	8	16	11	5	5
sp|Q9Y320|TMX2_HUMAN	12	12	11	16	6	9	16	17
sp|P23528|COF1_HUMAN	11	10	14	17	9	11	9	16
sp|Q8NE62|CHDH_HUMAN	10	20	9	9	17	10	6	9
sp|A0A087X1C5|CP2D7_HUMAN	0	52	44	0	42	39	0	0
sp|A8MUH7|PDZ1P_HUMAN	20	10	15	14	7	12	7	8
sp|P0C0S5|H2AZ_HUMAN	9	14	14	7	14	14	5	5
sp|Q71UI9|H2AV_HUMAN	9	14	14	7	14	14	5	5
sp|O75881|CP7B1_HUMAN	10	14	14	14	10	9	16	11
sp|P02652|APOA2_HUMAN	14	8	10	16	11	13	8	11
sp|P61020|RAB5B_HUMAN	12	11	14	16	7	8	18	18
sp|O60568|PLOD3_HUMAN	13	13	15	15	7	11	7	5
sp|P00403|COX2_HUMAN	13	12	14	16	10	9	13	11
sp|P01857|IGHG1_HUMAN	24	16	7	15	11	10	7	8
sp|O75746|S2512_HUMAN	16	14	9	13	9	9	25	17
sp|P09496|CLCA_HUMAN	9	12	15	10	12	15	4	6
sp|P26572|MGAT1_HUMAN	15	11	18	10	8	10	2	2
sp|P62847|RS24_HUMAN	19	10	12	15	8	10	16	16
sp|O75381|PEX14_HUMAN	12	15	13	7	14	9	16	9
sp|O75521|ECI2_HUMAN	16	13	12	10	9	10	20	13
sp|O75880|SCO1_HUMAN	16	12	12	11	13	11	8	11
sp|P06681|CO2_HUMAN	14	13	10	10	10	8	14	13
sp|O15031|PLXB2_HUMAN	26	4	12	24	0	7	12	14
sp|P16671|CD36_HUMAN	19	3	5	14	1	2	13	14
sp|P84103|SRSF3_HUMAN	9	8	11	8	6	10	13	21
sp|Q8IX05|CD302_HUMAN	10	11	12	10	11	16	9	6
sp|Q9HCL2|GPAT1_HUMAN	12	4	5	10	1	1	24	18
sp|O15258|RER1_HUMAN	9	9	11	7	10	8	16	16
sp|P84243|H33_HUMAN	10	12	17	9	12	13	4	7
sp|Q92930|RAB8B_HUMAN	13	8	12	12	11	11	22	19
sp|Q16718|NDUA5_HUMAN	12	12	12	14	11	11	12	9
sp|P04196|HRG_HUMAN	14	18	12	10	12	10	3	3
sp|O95497|VNN1_HUMAN	8	12	18	6	6	17	2	3
sp|O95721|SNP29_HUMAN	17	6	11	13	6	9	11	16
sp|P05107|ITB2_HUMAN	21	10	11	12	7	10	10	6
sp|P11233|RALA_HUMAN	15	13	9	12	12	10	10	11
sp|Q8IXQ6|PARP9_HUMAN	5	11	16	5	10	16	7	7
sp|Q9Y282|ERGI3_HUMAN	14	15	13	8	9	11	8	6
sp|P0CG39|POTEJ_HUMAN	15	13	8	12	11	10	18	19
sp|Q92614|MY18A_HUMAN	32	7	2	15	5	2	2	3
sp|Q16762|THTR_HUMAN	11	15	11	10	15	9	11	7
sp|A3KMH1|VWA8_HUMAN	16	17	2	9	14	1	7	5
sp|P16104|H2AX_HUMAN	8	18	12	7	10	13	6	5
sp|P16219|ACADS_HUMAN	14	13	5	12	10	2	12	14
sp|P51159|RB27A_HUMAN	12	14	10	13	7	10	18	22
sp|P61158|ARP3_HUMAN	12	10	13	17	4	9	8	8
sp|O75964|ATP5L_HUMAN	13	12	8	12	10	12	17	19
sp|P16930|FAAA_HUMAN	24	21	20	22	21	15	0	0
sp|P46940|IQGA1_HUMAN	15	12	14	12	10	11	3	3
sp|P49189|AL9A1_HUMAN	14	12	10	12	7	8	12	12
sp|Q13131|AAPK1_HUMAN	9	17	15	9	14	9	3	4
sp|P36980|FHR2_HUMAN	12	9	16	11	9	12	9	7
sp|Q6NUQ4|TM214_HUMAN	9	10	18	7	3	12	16	12
sp|Q9NQR4|NIT2_HUMAN	15	16	8	11	12	6	6	3
sp|Q9Y624|JAM1_HUMAN	16	8	10	10	7	10	13	16
sp|THIO_HUMAN|	13	14	10	12	9	7	14	11
sp|P10599|THIO_HUMAN	13	14	10	12	9	7	14	11
sp|O60763|USO1_HUMAN	21	8	8	16	2	7	3	5
sp|P04083|ANXA1_HUMAN	10	2	16	8	3	20	6	4
sp|Q05707|COEA1_HUMAN	13	1	15	12	0	19	15	13
sp|P46459|NSF_HUMAN	12	11	11	13	13	10	8	10
sp|Q6UXV4|MIC27_HUMAN	15	9	4	13	11	5	14	12
sp|Q7RTV2|GSTA5_HUMAN	15	12	10	15	12	9	10	9
sp|P02655|APOC2_HUMAN	12	13	12	11	10	10	12	11
sp|Q9H3K2|GHITM_HUMAN	5	18	13	7	8	15	1	3
sp|Q9UI09|NDUAC_HUMAN	16	10	10	12	8	7	16	18
sp|Q92520|FAM3C_HUMAN	12	12	11	9	11	15	4	2
sp|Q9HBH5|RDH14_HUMAN	18	12	8	15	8	9	17	18
sp|P21108|PRPS3_HUMAN	18	8	11	17	7	13	6	7
sp|O43181|NDUS4_HUMAN	17	10	12	13	10	9	11	13
sp|Q9BTV4|TMM43_HUMAN	13	18	12	14	7	10	9	4
sp|P43686|PRS6B_HUMAN	10	11	13	8	7	17	4	3
sp|Q58FF8|H90B2_HUMAN	13	8	9	14	10	12	11	13
sp|Q9Y6L6|SO1B1_HUMAN	8	13	14	7	7	14	9	7
sp|Q13637|RAB32_HUMAN	13	12	8	11	7	12	13	13
sp|Q86VU5|CMTD1_HUMAN	14	15	9	14	9	7	17	15
sp|Q9Y224|RTRAF_HUMAN	6	13	14	5	12	14	5	4
sp|P84095|RHOG_HUMAN	17	11	12	12	7	8	12	12
sp|Q6IC98|GRAM4_HUMAN	5	12	16	3	10	15	5	8
sp|O75380|NDUS6_HUMAN	8	7	8	8	8	11	13	16
sp|P42766|RL35_HUMAN	11	13	10	14	11	8	15	12
sp|P61513|RL37A_HUMAN	7	8	12	13	12	11	16	12
sp|Q9NZP8|C1RL_HUMAN	21	10	7	13	13	7	9	11
sp|P51570|GALK1_HUMAN	12	15	7	11	11	6	12	13
sp|Q96TC7|RMD3_HUMAN	15	6	12	16	9	10	12	17
sp|P07954|FUMH_HUMAN	10	18	5	8	14	9	9	8
sp|P07108|ACBP_HUMAN	7	15	8	11	10	6	11	15
sp|P21333|FLNA_HUMAN	17	5	15	12	4	10	1	3
sp|Q96DZ1|ERLEC_HUMAN	9	11	14	6	12	13	5	4
sp|Q96RT6|CTGE2_HUMAN	8	7	8	8	6	9	12	19
sp|Q9UN36|NDRG2_HUMAN	8	8	15	10	6	16	10	6
sp|O00483|CXFA4_HUMAN	11	10	11	15	10	8	16	16
sp|Q9NYL4|FKB11_HUMAN	14	11	12	12	12	10	7	5
sp|Q9NZJ7|MTCH1_HUMAN	13	7	5	6	3	3	15	18
sp|Q5VT66|MARC1_HUMAN	12	13	10	13	9	9	10	11
sp|P18428|LBP_HUMAN	6	14	11	9	8	14	5	8
sp|Q96L21|RL10L_HUMAN	12	7	10	12	9	14	9	8
sp|P01871|IGHM_HUMAN	9	17	3	7	18	4	3	4
sp|P02654|APOC1_HUMAN	9	11	10	17	9	9	12	13
sp|P35542|SAA4_HUMAN	10	15	11	12	11	8	7	7
sp|P22314|UBA1_HUMAN	18	13	7	15	10	7	2	3
sp|Q93050|VPP1_HUMAN	16	9	8	13	8	8	10	14
sp|Q3SY69|AL1L2_HUMAN	11	10	13	12	12	8	9	8
sp|P06727|APOA4_HUMAN	3	17	23	1	11	14	3	0
sp|P22392|NDKB_HUMAN	11	10	11	10	9	11	12	14
sp|P32119|PRDX2_HUMAN	15	12	12	10	8	9	9	10
sp|Q6IAA8|LTOR1_HUMAN	13	11	9	15	9	6	9	10
sp|P62829|RL23_HUMAN	22	10	6	15	8	9	13	13
sp|Q15393|SF3B3_HUMAN	8	8	15	9	12	12	3	3
sp|Q9BZQ6|EDEM3_HUMAN	9	11	19	13	4	9	2	3
sp|P05362|ICAM1_HUMAN	18	8	11	13	9	9	11	7
