protein_group	accession	entry	n_base_sequences	AZ905_oxidation_index	AZ907_oxidation_index	AZ909_oxidation_index	AZ906_oxidation_index	AZ908_oxidation_index	AZ910_oxidation_index	AZ941_oxidation_index	AZ942_oxidation_index	log2_ratio_P905_906	log2_ratio_P907_908	log2_ratio_P909_910	log2_ratio_P941_942	mean_log2_ratio	ci_low	ci_high	t	p	q
psvid_19780_sp|P61247|RS3A_HUMAN	P61247	RS3A_HUMAN	1	0.02551963541753889	0.019230468809931484	0.020706317358554813	0.02710328965628276	0.024057189007752215	0.04081571574577204	0.12247113962273422	0.12283547388855658	0.08686025062193649	0.32307414501714254	0.9790537652157066	0.004285441941345084	0.3483184006990327	-0.1484551416108862	0.8450919430089516	1.8223240788003605	0.130150762810145	0.6575416182398145
psvid_88591_sp|P20645|MPRD_HUMAN	P20645	MPRD_HUMAN	1	0.10751972494993325	0.1242987103996989	0.13691780693030153	0.13720880507363156	0.722541328215128	0.16883881609161105	0.23993470840575307	0.2606485918130065	0.35177171364218485	2.5392687813425616	0.3023365287789856	0.11946419592232135	0.8282103049215133	-0.3629575318295495	2.019378141672576	1.8070714528914824	0.1326907986586346	0.6575416182398145
psvid_28028_sp|P13667|PDIA4_HUMAN	P13667	PDIA4_HUMAN	1	0.009722320399134792	0.01729863353669999	0.015998086810845163	0.011925847056199274	0.01017166365677108	0.011108271803045177	0.01736429698741952	0.013319835688318415	0.29471915600960724	-0.766102417409711	-0.5262650021929473	-0.38254771718449376	-0.3450489951943862	-0.8542283125818646	0.16413032219309215	-1.761236455303388	0.14063385447748256	0.6575416182398145
psvid_60577_sp|P60468|SC61B_HUMAN	P60468	SC61B_HUMAN	1	0.06955984517022398	0.08180916469570251	0.10436684627065038	0.05673783274497379	0.08837337301717703	0.03660991194809835	0.05610205818837857	0.046280565580989766	-0.2939436774009964	0.11134927912093127	-1.5113572816005527	-0.27764720394327463	-0.4928997209559731	-1.2431756067948796	0.25737616488293347	-1.7074391598799876	0.1505778720304475	0.6575416182398145
psvid_33235_sp|P07237|PDIA1_HUMAN	P07237	PDIA1_HUMAN	2	0.02425425431432823	0.01978610650162885	0.02315936126274998	0.022935160090549668	0.01773910139223236	0.021469809380129292	0.017337003204739826	0.0150478518568692	-0.0806768475688242	-0.15755481859323786	-0.10928608194355849	-0.2042969914332823	-0.1379536848847257	-0.350211401290184	0.07430403152073264	-1.689185993182484	0.1541113167749565	0.6575416182398145
psvid_73637_sp|P37059|DHB2_HUMAN	P37059	DHB2_HUMAN	1	0.056452937905079215	0.13367629270680634	0.21674363402051586	0.042517069646973646	0.14370343960839801	0.2122795392784947	0.05329394258548015	0.03470245434654059	-0.40900649605457	0.10435096550184837	-0.030024297950367252	-0.6189338632460442	-0.23840342293728328	-0.6373292997859545	0.16052245391138792	-1.5532019673751063	0.18318584817811912	0.6841978565565021
psvid_68886_sp|P33121|ACSL1_HUMAN	P33121	ACSL1_HUMAN	3	0.11146322715832184	0.17622243996414128	0.21773256315614672	0.09438250949760826	0.17528485328743262	0.20796141705710902	0.07357180956572967	0.06257827860041237	-0.23997639268987905	-0.007696311756595281	-0.06624129605173402	-0.23349110263910683	-0.1368512757843288	-0.3745871312863083	0.10088457971765066	-1.4961041128114152	0.1969540832536574	0.6841978565565021
psvid_53465_sp|Q9Y4L1|HYOU1_HUMAN	Q9Y4L1	HYOU1_HUMAN	2	0.025064211997580108	0.02794922617482936	0.028072787161356045	0.024722972186078683	0.029461657771170605	0.03323548336482272	0.03322263838807508	0.040141693832673415	-0.01977668354144386	0.07603027134483782	0.24355202947231155	0.2729348444309996	0.14318511542667628	-0.10628635248526577	0.3926565833386183	1.4917108381640427	0.19805435357582132	0.6841978565565021
psvid_70839_sp|P05141|ADT2_HUMAN	P05141	ADT2_HUMAN	1	0.0485197945043811	0.024054992976080318	0.07727466138753947	0.04985370412958852	0.07080644243863915	0.0710856118652881	0.05967700371810796	0.0748112421246137	0.03912726059622687	1.5575442540595428	-0.12043784764385913	0.3260799826795751	0.4505784124228714	-0.3554630854574485	1.2566199103031912	1.4528495150209848	0.20805001649680865	0.6841978565565021
psvid_415045_sp|Q96HR9|REEP6_HUMAN	Q96HR9	REEP6_HUMAN	1	0.051383632329722706	0.12269428357113231	0.13313514093563927	0.055499881036521266	0.12016088178734549	0.15714683319866918	0.06078848461648638	0.06957231600709604	0.11117580052395834	-0.030100729141263674	0.23922177948650006	0.19471529308791696	0.12875303598927793	-0.10931904522957422	0.36682511720813005	1.4055835427728365	0.220863328824026	0.6841978565565021
