feature	accession	entry	log2fc	ci_low	ci_high	se	t	p	q	residual_sd	mean_log2_abundance	prior_variance	prior_sd	notrend_se	notrend_t	notrend_p	notrend_q	hit_q05_trend	hit_q05_notrend	hit_q10_trend	hit_q10_notrend
psvid_48542_sp|P46940|IQGA1_HUMAN	P46940	IQGA1_HUMAN	0.011299433990063612	-0.3461195843873868	0.36871845236751405	0.15425367353958516	0.07325228456983171	0.9434521600367525	0.9992411296806205	0.29701667238743495	24.41709873913642	0.022119764131541934	0.1487271465857593	0.16357690126507188	0.0690771979581224	0.9471702492172384	0.9996451897704158	False	False	False	False
psvid_66353_sp|Q9Y696|CLIC4_HUMAN	Q9Y696	CLIC4_HUMAN	-0.010549263962829514	-0.35646587022798926	0.33536734230233023	0.14928950198838548	-0.07066313318970166	0.9454470631565925	0.9992411296806205	0.241517401059544	23.177596258294756	0.035952003374586	0.18961013521061051	0.13890305952402418	-0.07594695177326134	0.9419275442028926	0.9996451897704158	False	False	False	False
psvid_90832_sp|P34896|GLYC_HUMAN	P34896	GLYC_HUMAN	-0.004529149082474149	-0.15540859039607421	0.14635029223112592	0.0651160315695484	-0.06955505385239434	0.9463009486697338	0.9992411296806205	0.061525855840089426	26.37761578356817	0.011423037700709085	0.10687861198906488	0.07532374619064429	-0.060129100204481055	0.9540033644564897	0.9996451897704158	False	False	False	False
psvid_27279_sp|Q9UDY2|ZO2_HUMAN	Q9UDY2	ZO2_HUMAN	0.011217851282684599	-0.3663941529301081	0.3888298554954773	0.16296849307821681	0.06883447880505703	0.946856263424631	0.9992411296806205	0.22201457254161522	21.936185997476727	0.05551635019524544	0.23561907858924633	0.13052452315747945	0.08594439582169645	0.9343036890381857	0.9996451897704158	False	False	False	False
psvid_47937_sp|P02786|TFR1_HUMAN	P02786	TFR1_HUMAN	-0.011672935118020256	-0.41441962852271	0.3910737582866695	0.17381603599500536	-0.06715683654387147	0.9481492665989146	0.9992411296806205	0.3584453949392109	24.98204155086716	0.017762219355882458	0.13327497648051737	0.1918637680078912	-0.060839705376473985	0.953460553667479	0.9996451897704158	False	False	False	False
psvid_29057_sp|P55735|SEC13_HUMAN	P55735	SEC13_HUMAN	-0.005731007611456285	-0.20483108443624465	0.19336906921333208	0.08592692798401699	-0.06669629353585517	0.9485042481671908	0.9992411296806205	0.0557712913691004	24.42235570008915	0.0220735366943656	0.1485716550838874	0.07419646326734625	-0.07724098102636238	0.9409403439160363	0.9996451897704158	False	False	False	False
psvid_37945_sp|P18085|ARF4_HUMAN	P18085	ARF4_HUMAN	-0.0068213639475454	-0.2438118564854363	0.2301691285903455	0.10227954358410737	-0.06669333581779233	0.9485065279841086	0.9992411296806205	0.17707068614781046	25.582374041953784	0.014383181436425899	0.11992990217800521	0.1120614707312313	-0.06087162610872553	0.9534361709807253	0.9996451897704158	False	False	False	False
psvid_42951_sp|O00748|EST2_HUMAN	O00748	EST2_HUMAN	-0.0040654900665044735	-0.14577076203657208	0.13763978190356313	0.06115667504359077	-0.06647663666487273	0.9486735616435773	0.9992411296806205	0.08647672844006356	28.799947686681143	0.007481564849421521	0.086496039501364	0.08121445576344871	-0.050058699874144616	0.9616986093506116	0.9996451897704158	False	False	False	False
psvid_38014_sp|Q02809|PLOD1_HUMAN	Q02809	PLOD1_HUMAN	0.01583600104108207	-0.537946238128285	0.5696182402104492	0.23899943858790854	0.0662595742259758	0.9488408780476898	0.9992411296806205	0.4946146444075734	23.445148212894832	0.032500809413403185	0.18027980866809012	0.25655009953129304	0.061726739026856055	0.9527830126785872	0.9996451897704158	False	False	False	False
psvid_69158_sp|Q9BSJ8|ESYT1_HUMAN	Q9BSJ8	ESYT1_HUMAN	0.003499368446429507	-0.1194038678736871	0.12640260476654613	0.05304215701320339	0.06597334353424646	0.9490615149787733	0.9992411296806205	0.03346812573471886	27.864378428830072	0.008451976789480543	0.09193463324275865	0.07076803964324985	0.049448429885443235	0.9621650985637584	0.9996451897704158	False	False	False	False
psvid_91368_sp|P19652|A1AG2_HUMAN	P19652	A1AG2_HUMAN	-0.0069484431752151465	-0.25384424224088364	0.23994735589045335	0.10655444178729075	-0.06521026302297162	0.949649747840584	0.9992411296806205	0.1378951711938276	24.108776028658436	0.025022361557670413	0.15818458065712476	0.09734801244363787	-0.07137735019744883	0.9454145333084197	0.9996451897704158	False	False	False	False
