feature	first_member_id	log2fc	ci_low	ci_high	se	t	p	q	residual_sd	mean_log2_abundance	prior_variance	prior_sd	notrend_se	notrend_t	notrend_p	notrend_q	hit_q05_trend	hit_q05_notrend	hit_q10_trend	hit_q10_notrend
sp|Q9H078|CLPB_HUMAN	psvid_39230_sp|Q9H078|CLPB_HUMAN	-1.055598105334112	-2.015047919508244	-0.09614829115997992	0.42124739009847356	-2.5058863986963775	0.03462421689637811	1.0	0.6312664835909261	2.2970029519297634	0.2946049792695154	0.542775256685044	0.3934855266680045	-2.6826859790061643	0.029650070846439613	1.0	False	False	False	False
sp|P60900|PSA6_HUMAN	psvid_16249_sp|P60900|PSA6_HUMAN	-0.751606567289858	-1.4385759753444924	-0.0646371592352235	0.3016145982263824	-2.4919435985844616	0.03541042036891377	1.0	0.33605562489316015	2.473882639339619	0.27737762864686893	0.5266665250866709	0.24296778404456235	-3.093441257018696	0.016164606551959337	1.0	False	False	False	False
sp|Q969X5|ERGI1_HUMAN	psvid_44747_sp|Q969X5|ERGI1_HUMAN	-0.33036940755088473	-0.6393626280341506	-0.0213761870676189	0.13566377914069253	-2.4352071691019996	0.038798636613626696	1.0	0.12489287788631072	5.056223006839946	0.06614271402039651	0.25718225837020037	0.1624208652519861	-2.0340330476526933	0.07897398645742773	1.0	False	False	False	False
sp|Q8NHW5|RLA0L_HUMAN	psvid_64823_sp|Q8NHW5|RLA0L_HUMAN	0.37107902512339463	0.023844533084845854	0.7183135171619435	0.15245364724919402	2.434044916727018	0.038871335003031346	1.0	0.19891798503550595	5.523046614287988	0.056048365190795334	0.23674535938597685	0.1855309808634586	2.000091970604575	0.08312944543519171	1.0	False	False	False	False
sp|Q14195|DPYL3_HUMAN	psvid_62000_sp|Q14195|DPYL3_HUMAN	-0.896240625180289	-1.745492427890945	-0.04698882246963321	0.37286484414635557	-2.403660841858558	0.0408208727585095	1.0	0.5083187498455513	0.4481203125901445	0.30525639195333887	0.5525001284645451	0.328372751754226	-2.7293392048895995	0.027653679933097072	1.0	False	False	False	False
sp|P48723|HSP13_HUMAN	psvid_66749_sp|P48723|HSP13_HUMAN	-0.9694360624872504	-1.902013682064494	-0.03685844291000695	0.4094491264760022	-2.3676593740249903	0.04325737763278635	1.0	0.5995703519124778	2.2114406801457545	0.3018477189385199	0.5494066972093805	0.3764881589971132	-2.5749443623130888	0.034850481203235584	1.0	False	False	False	False
sp|P22792|CPN2_HUMAN	psvid_104749_sp|P22792|CPN2_HUMAN	-0.8537593748197109	-1.6779663091436212	-0.029552440495800525	0.3618688699042244	-2.3593059415298	0.043843092315229475	1.0	0.4683364705934377	1.9211996682848345	0.3207543013044387	0.5663517469774757	0.3077807921544061	-2.7739202594273675	0.025876068180299236	1.0	False	False	False	False
sp|Q9HD20|AT131_HUMAN	psvid_60305_sp|Q9HD20|AT131_HUMAN	-0.4127737097078985	-0.8125917570252591	-0.012955662390537914	0.17554050921535636	-2.3514441854643366	0.04440152766854137	1.0	0.2055277432765023	4.431299841491862	0.0884401455861333	0.2973888793921745	0.18793229363966338	-2.1963958493442344	0.06176237091111221	1.0	False	False	False	False
sp|P18085|ARF4_HUMAN	psvid_37945_sp|P18085|ARF4_HUMAN	-0.40751259756242353	-0.8055648964303489	-0.00946029869449816	0.1747652556117739	-2.331771244438185	0.045830065043163164	1.0	0.19848879194315247	4.376637659072722	0.09107869584377952	0.3017924714829373	0.18537671389195026	-2.1982944297952582	0.06158492595330517	1.0	False	False	False	False
sp|P55899|FCGRN_HUMAN	psvid_66619_sp|P55899|FCGRN_HUMAN	-0.5637915406251134	-1.1156113936049472	-0.01197168764527945	0.24227705236710825	-2.3270529962153947	0.04617939907288129	1.0	0.29080084416946445	3.4448268785895726	0.1627995084477142	0.4034842109026253	0.22252350385723701	-2.533626924133019	0.03708611764296649	1.0	False	False	False	False
sp|Q16878|CDO1_HUMAN	psvid_51126_sp|Q16878|CDO1_HUMAN	0.75	0.013919682269216582	1.4860803177307833	0.32317679170520147	2.3207111997204994	0.04665309880367906	1.0	0.3763863263545405	0.375	0.30184657378938573	0.5494056550395033	0.26205425913912495	2.8620027106746013	0.022704740877547498	1.0	False	False	False	False
sp|P36406|TRI23_HUMAN	psvid_34633_sp|P36406|TRI23_HUMAN	-1.160964047443681	-2.3125070194855075	-0.009421075401854662	0.5055860810983702	-2.2962737520809955	0.04852385830110774	1.0	0.800634667245088	1.5804820237218404	0.3317564974456055	0.5759830704505172	0.48599176907646324	-2.3888553702254605	0.0461451341872094	1.0	False	False	False	False
sp|Q9H0C2|ADT4_HUMAN	psvid_79092_sp|Q9H0C2|ADT4_HUMAN	0.5096654050922765	0.001439680720996095	1.0178911294635569	0.2231370070737778	2.2840917863694448	0.049483935226528664	1.0	0.0963478368183407	2.9202772269891346	0.22445488739109584	0.4737667014376336	0.1557624773974906	3.2720679178186174	0.012489121471902353	1.0	False	False	False	False
sp|Q9BTV4|TMM43_HUMAN	psvid_35234_sp|Q9BTV4|TMM43_HUMAN	-0.672153570686076	-1.3430785222849462	-0.001228619087205618	0.2945702637466713	-2.2818106693353277	0.049665787178720264	1.0	0.4140781001627833	3.3202362700936803	0.17642337491686108	0.42002782636018426	0.2804770287763918	-2.3964656699994684	0.04561703204059057	1.0	False	False	False	False
sp|Q5HYI8|RABL3_HUMAN	psvid_64949_sp|Q5HYI8|RABL3_HUMAN	-0.6714850371114943	-1.3491364023177654	0.006166328094776907	0.297523502295453	-2.2569142670439604	0.05169391378131173	1.0	0.35668237180892726	2.7467065659994283	0.24593534361131514	0.49591868649135934	0.2526397040151879	-2.6578761233472896	0.03077193667378257	1.0	False	False	False	False
sp|P28845|DHI1_HUMAN	psvid_59047_sp|P28845|DHI1_HUMAN	-0.2754751725128173	-0.5571183190675009	0.006167974041866253	0.12365570212487416	-2.2277595596410724	0.05417278336361852	1.0	0.14361949783978745	6.596720645482322	0.04434837325767719	0.21059053458709198	0.16753322019142822	-1.644301782046877	0.14150692987736654	1.0	False	False	False	False
sp|Q14117|DPYS_HUMAN	psvid_84271_sp|Q14117|DPYS_HUMAN	-0.47414890372016016	-0.9613802688877529	0.01308246144743258	0.2139194128956437	-2.216483755737794	0.05516252029589855	1.0	0.27171823568867765	3.966370845944179	0.11599009549076766	0.3405731866879242	0.214279461314457	-2.2127594535266377	0.06024960451489287	1.0	False	False	False	False
sp|P62330|ARF6_HUMAN	psvid_88144_sp|P62330|ARF6_HUMAN	-0.5335105954848439	-1.084153841136423	0.017132650166735264	0.24176046175561836	-2.2067735626023866	0.056029039736180807	1.0	0.31741970179720497	3.6836717919866935	0.13921803263314494	0.3731193276059885	0.2344098518896776	-2.275973433641922	0.054745924751877686	1.0	False	False	False	False
