feature	first_member_id	log2fc	ci_low	ci_high	se	t	p	q	residual_sd	mean_log2_abundance	prior_variance	prior_sd	notrend_se	notrend_t	notrend_p	notrend_q	hit_q05_trend	hit_q05_notrend	hit_q10_trend	hit_q10_notrend
sp|Q9H0C2|ADT4_HUMAN	psvid_79092_sp|Q9H0C2|ADT4_HUMAN	0.5879780877509253	0.28235125929849847	0.8936049162033521	0.11876755892131562	4.950662395448114	0.004324034694978521	0.7026140675292368	0.0754414651745532	-12.91149904797934	0.062291853281374376	0.24958335938394285	0.08667419711168044	6.783773110621499	0.001618115748273686	0.6821189646413428	False	False	False	False
sp|Q8NHW5|RLA0L_HUMAN	psvid_64823_sp|Q8NHW5|RLA0L_HUMAN	0.4129862474788135	0.19664695320985137	0.6293255417477757	0.08407013876756007	4.9124011632792906	0.004469065100512717	0.7026140675292368	0.12603224003346777	-10.336847895015312	0.011489435569640279	0.10718878471948583	0.10451789331866003	3.951344926362779	0.013455756942466401	0.7206511690381262	False	False	False	False
sp|P46783|RS10_HUMAN	psvid_64450_sp|P46783|RS10_HUMAN	0.7405093318553995	0.33323700961417924	1.1477816540966197	0.15826732153631742	4.678851734313805	0.005488106434691981	0.7026140675292368	0.2779674716019817	-9.870846781367753	0.008981549948371303	0.09477103960794829	0.1773948031775174	4.174357526778157	0.011003539841468851	0.7206511690381262	False	False	False	False
sp|P11215|ITAM_HUMAN	psvid_23094_sp|P11215|ITAM_HUMAN	1.0146918843898316	0.44514862260413	1.584235146175533	0.22132632545673522	4.58459644281305	0.005974445822348368	0.7026140675292368	0.29399591960808946	-16.588502432517153	0.11543016022722306	0.33975014382222574	0.18584242360356965	5.459958306152554	0.0039137229501100875	0.6821189646413428	False	False	False	False
sp|P36956|SRBP1_HUMAN	psvid_64569_sp|P36956|SRBP1_HUMAN	-1.2493739930092587	-1.9629599803412028	-0.5357880056773145	0.2773017873627674	-4.505466787254502	0.006421759398649089	0.7026140675292368	0.4108672487405336	-15.931955895132322	0.13106327600317358	0.36202662333476743	0.24921880728703505	-5.013160951253193	0.0054809750440882625	0.6821189646413428	False	False	False	False
sp|Q15800|MSMO1_HUMAN	psvid_105695_sp|Q15800|MSMO1_HUMAN	-0.7291045367046243	-1.1461147612859577	-0.312094312123291	0.1620515013997335	-4.49921494344034	0.006458729979346395	0.7026140675292368	0.22428988474334244	-12.749523620427922	0.055874060140783395	0.23637694502802806	0.14981729827773377	-4.866624515902018	0.006151363899259815	0.6986654365580358	False	False	False	False
sp|Q9P2R3|ANFY1_HUMAN	psvid_38492_sp|Q9P2R3|ANFY1_HUMAN	-0.78855270106805	-1.2491273693356946	-0.32797803280040533	0.17898078296374942	-4.4057953485864605	0.007041707582519463	0.7026140675292368	0.16846993335550406	-16.49609854453643	0.11807330827244449	0.34361796849472886	0.12291117961685641	-6.415630405030345	0.0020370308608800573	0.6821189646413428	False	False	False	False
sp|O75348|VATG1_HUMAN	psvid_99175_sp|O75348|VATG1_HUMAN	0.7834267423881687	0.32133414323980897	1.2455193415365284	0.17957065573842265	4.362777087194983	0.007330552150043691	0.7026140675292368	0.27498192086450113	-12.521455452443941	0.04765717818470108	0.21830524085486605	0.17583049223931846	4.455579532370678	0.00862285219033559	0.7206511690381262	False	False	False	False
sp|Q9H0U3|MAGT1_HUMAN	psvid_56110_sp|Q9H0U3|MAGT1_HUMAN	-0.45396058244541626	-0.742153934581718	-0.16576723030911455	0.11199285450134339	-4.0534780943544115	0.009863462205380076	0.7026140675292368	0.10705934937257043	-12.46251407723904	0.04570110793872016	0.2137781746079804	0.09717908134651115	-4.671381702269137	0.007202618908605625	0.7206511690381262	False	False	False	False
sp|P11279|LAMP1_HUMAN	psvid_34906_sp|P11279|LAMP1_HUMAN	0.40018129390428303	0.1398618706017064	0.6605007172068597	0.10116095698144582	3.955886795116828	0.010863182714135755	0.7026140675292368	0.029385726469817495	-12.593240392087804	0.050133832617389684	0.22390585659466275	0.07678857799246314	5.211469001855473	0.004707135385283438	0.6821189646413428	False	False	False	False
sp|Q5HYI8|RABL3_HUMAN	psvid_64949_sp|Q5HYI8|RABL3_HUMAN	-0.5908481754607067	-0.9762433081409976	-0.20545304278041582	0.14976577599672186	-3.9451481590402833	0.010980153270045763	0.7026140675292368	0.19895127515192884	-12.668696896425534	0.05284690634550558	0.2298845500365468	0.13731608918564314	-4.302832821446839	0.00983060313974042	0.7206511690381262	False	False	False	False
sp|P06756|ITAV_HUMAN	psvid_73598_sp|P06756|ITAV_HUMAN	-0.7260417403792725	-1.20395703672972	-0.24812644402882494	0.18571940626454217	-3.9093477358261914	0.011380710498990358	0.7026140675292368	0.16147950571542316	-14.935728668191167	0.13391722799923325	0.3659470289525975	0.1197295288233595	-6.06401568196617	0.0025649305270662756	0.6821189646413428	False	False	False	False
sp|Q9BUR5|MIC26_HUMAN	psvid_77802_sp|Q9BUR5|MIC26_HUMAN	-0.5936837604661998	-0.9895817617392177	-0.1977857591931818	0.1538472241822293	-3.858917595828651	0.011973800295800316	0.7026140675292368	0.21389804881296887	-12.581947955178059	0.04973742283801071	0.22301888448741447	0.14464130764661018	-4.10452428926249	0.011710100705624624	0.7206511690381262	False	False	False	False
sp|P07360|CO8G_HUMAN	psvid_94344_sp|P07360|CO8G_HUMAN	-0.3496148513168862	-0.5831476599512134	-0.11608204268255895	0.090751593209217	-3.852437615182036	0.01205255404584541	0.7026140675292368	0.04739290474497856	-12.205667169841082	0.03799982905266223	0.1949354484250164	0.07974484719412277	-4.3841685528071705	0.009164246744831316	0.7206511690381262	False	False	False	False
sp|Q8N8J7|F241A_HUMAN	psvid_81790_sp|Q8N8J7|F241A_HUMAN	-1.248250367505236	-2.0820920082807803	-0.41440872672969187	0.3240335172907481	-3.8522260843319143	0.012055134873824081	0.7026140675292368	0.5282056803950694	-13.910984148657356	0.10556653235291674	0.32491003732251295	0.314628637444727	-3.967376833981061	0.013259369588661583	0.7206511690381262	False	False	False	False
sp|Q6P4E1|GOLM2_HUMAN	psvid_73679_sp|Q6P4E1|GOLM2_HUMAN	-1.121382933636938	-1.870916947058693	-0.371848920215183	0.29127130479140895	-3.8499602095716408	0.012082820023120833	0.7026140675292368	0.44503497487546806	-14.553585283361322	0.12673224213976117	0.3559947220672817	0.2681385253753236	-4.18210300838828	0.010928309625387739	0.7206511690381262	False	False	False	False
sp|O75452|RDH16_HUMAN	psvid_59530_sp|O75452|RDH16_HUMAN	-0.7499994589897652	-1.2576729011295358	-0.24232601684999466	0.19728351649438952	-3.8016326569842653	0.01269104605783004	0.7026140675292368	0.3535531355586037	-9.19454272774161	0.006475333915391333	0.0804694595196919	0.21782056159526517	-3.443198628710487	0.021878560398340387	0.7206511690381262	False	False	False	False
sp|Q9UMX5|NENF_HUMAN	psvid_36799_sp|Q9UMX5|NENF_HUMAN	-0.33073065878633834	-0.5546099214705604	-0.10685139610211622	0.08700019450762296	-3.8014933260564114	0.012692849701245632	0.7026140675292368	0.11219551475555872	-11.19143217064251	0.018997426879068694	0.1378311535142498	0.09909943189754544	-3.3373618037312895	0.02433249869097935	0.7206511690381262	False	False	False	False
sp|Q96RQ1|ERGI2_HUMAN	psvid_42509_sp|Q96RQ1|ERGI2_HUMAN	0.6616333671707868	0.21266221146998732	1.1106045228715864	0.17447162102448097	3.7922119556506546	0.012813662305732295	0.7026140675292368	0.15908202024857063	-14.154402115912053	0.11471548108686007	0.3386967391145951	0.11865042635999215	5.57632523934936	0.003597670514796185	0.6821189646413428	False	False	False	False
sp|P13693|TCTP_HUMAN	psvid_68918_sp|P13693|TCTP_HUMAN	0.6268422993578744	0.19609053429630857	1.0575940644194401	0.16739150779550613	3.744767626585074	0.013452210846821015	0.7026140675292368	0.19777701020900226	-13.356394338938244	0.08165165233291563	0.28574753250538426	0.13674713993733661	4.583951808024068	0.007741813091071037	0.7206511690381262	False	False	False	False
sp|Q8WVM8|SCFD1_HUMAN	psvid_86181_sp|Q8WVM8|SCFD1_HUMAN	-0.5589437110584767	-0.9455803489576462	-0.17230707315930732	0.15024822887882291	-3.720135107278182	0.013798077232666649	0.7026140675292368	0.18315729193466845	-12.921625576985944	0.06270748256622631	0.2504146213107899	0.12975263011608995	-4.307764016485744	0.009788607809804251	0.7206511690381262	False	False	False	False
sp|Q7L2H7|EIF3M_HUMAN	psvid_67794_sp|Q7L2H7|EIF3M_HUMAN	-0.7848098324209496	-1.3354515434279264	-0.2341681214139728	0.2139811226249561	-3.667659197192281	0.014569399465993671	0.7026140675292368	0.34948938648740074	-12.450707230836052	0.04531773952033166	0.2128796362274505	0.21561433742836647	-3.63987776407349	0.018041196444321155	0.7206511690381262	False	False	False	False
sp|P53007|TXTP_HUMAN	psvid_74158_sp|P53007|TXTP_HUMAN	0.2806698111441621	0.08179567120451148	0.47954395108381276	0.07728312417077295	3.6317089164765712	0.01512630332510531	0.7026140675292368	0.10515074654662743	-10.59682233791877	0.01329023795035272	0.11528329432468834	0.09647906064884006	2.909126698131223	0.03810698057604089	0.7206511690381262	False	False	False	False
