feature	first_member_id	log2fc	ci_low	ci_high	se	t	p	q	residual_sd	mean_log2_abundance	prior_variance	prior_sd	notrend_se	notrend_t	notrend_p	notrend_q	hit_q05_trend	hit_q05_notrend	hit_q10_trend	hit_q10_notrend
sp|P46783|RS10_HUMAN	psvid_64450_sp|P46783|RS10_HUMAN	0.7405093318553995	0.020079135811590376	1.4609395278992086	0.32295005046123343	2.292953138721647	0.04500365283128528	1.0	0.5375838029940226	-9.870846781367753	0.08532132033771067	0.29209813477273466	0.36088270085016927	2.0519391206918587	0.07194019370009921	1.0	False	False	False	False
sp|Q7L2H7|EIF3M_HUMAN	psvid_67794_sp|Q7L2H7|EIF3M_HUMAN	-0.7848098324209496	-1.5522280096124859	-0.017391655229413217	0.34401353581493066	-2.2813341648369168	0.045898981035480894	1.0	0.506030373166824	-12.450707230836052	0.20698354000387395	0.45495443728342067	0.3445483996109513	-2.277792708679309	0.05013177667215574	1.0	False	False	False	False
sp|P02652|APOA2_HUMAN	psvid_85363_sp|P02652|APOA2_HUMAN	0.45392041447346854	0.008345019700739531	0.8994958092461975	0.19973981798145843	2.272558466612828	0.0465866629884588	1.0	0.2680215459600117	-10.707345706067038	0.09199065240392003	0.30329960831481473	0.23291080589227187	1.9489023393934763	0.08471587467364801	1.0	False	False	False	False
sp|P13640|MT1G_HUMAN	psvid_62246_sp|P13640|MT1G_HUMAN	0.7297020625842126	-0.0032162618244920838	1.462620386992917	0.3285481524116466	2.22098970037716	0.05083411561679014	1.0	0.4871220914285004	-12.266976558334232	0.18307746858764015	0.4278755293162255	0.3348768756901189	2.179015977381037	0.0587316839812347	1.0	False	False	False	False
sp|P02795|MT2_HUMAN	psvid_62248_sp|P02795|MT2_HUMAN	0.7267034757351896	-0.004060678202032153	1.4574676296724114	0.32758249402268974	2.218383121794216	0.05105847107349545	1.0	0.4868189642506027	-12.243844917992622	0.18032006953126486	0.4246411067375188	0.33472259517939085	2.1710619067879806	0.05948404125915288	1.0	False	False	False	False
sp|P04731|MT1A_HUMAN	psvid_34319_sp|P04731|MT1A_HUMAN	0.7267034757351896	-0.004060678202032153	1.4574676296724114	0.32758249402268974	2.218383121794216	0.05105847107349545	1.0	0.4868189642506027	-12.243844917992622	0.18032006953126486	0.4246411067375188	0.33472259517939085	2.1710619067879806	0.05948404125915288	1.0	False	False	False	False
sp|P80294|MT1H_HUMAN	psvid_80675_sp|P80294|MT1H_HUMAN	0.7267034757351896	-0.004060678202032153	1.4574676296724114	0.32758249402268974	2.218383121794216	0.05105847107349545	1.0	0.4868189642506027	-12.243844917992622	0.18032006953126486	0.4246411067375188	0.33472259517939085	2.1710619067879806	0.05948404125915288	1.0	False	False	False	False
sp|P80297|MT1X_HUMAN	psvid_62249_sp|P80297|MT1X_HUMAN	0.7267034757351896	-0.004060678202032153	1.4574676296724114	0.32758249402268974	2.218383121794216	0.05105847107349545	1.0	0.4868189642506027	-12.243844917992622	0.18032006953126486	0.4246411067375188	0.33472259517939085	2.1710619067879806	0.05948404125915288	1.0	False	False	False	False
sp|Q9BXR6|FHR5_HUMAN	psvid_81273_sp|Q9BXR6|FHR5_HUMAN	0.8759051625627126	-0.03554915773569434	1.7873594828611195	0.4085811787872092	2.143772665110665	0.057900618121858684	1.0	0.43435956274784415	-15.787335592975595	0.5565087121398423	0.7459951153592377	0.3084307400180526	2.839876344723115	0.020354421746920055	1.0	False	False	False	False
sp|P62330|ARF6_HUMAN	psvid_88144_sp|P62330|ARF6_HUMAN	-0.45285385890728547	-0.9252105324578448	0.019502814643273914	0.21174516614733505	-2.138673893467697	0.05839905716152713	1.0	0.27730623462637977	-11.300301898163461	0.10925578392012632	0.33053862697138187	0.2366836652220858	-1.9133295847956475	0.08961028906054003	1.0	False	False	False	False
sp|Q16878|CDO1_HUMAN	psvid_51126_sp|Q16878|CDO1_HUMAN	0.8300493277492116	-0.03717209439725189	1.697270749895675	0.38875272522062926	2.1351601516828795	0.058744939968832836	1.0	0.3451193708111301	-14.800793284744476	0.583059412249827	0.7635832713265968	0.26606164145630595	3.119763236841966	0.013070310130546632	1.0	False	False	False	False
sp|P46777|RL5_HUMAN	psvid_67743_sp|P46777|RL5_HUMAN	0.5611708466504908	-0.02737450752062831	1.1497162008216097	0.2638295186293514	2.1270206971755425	0.05955371951182342	1.0	0.41731314312960077	-9.746368625966504	0.08564540453746856	0.2926523612367899	0.3000823135721812	1.8700563854307524	0.09592632765208133	1.0	False	False	False	False
sp|O75452|RDH16_HUMAN	psvid_59530_sp|O75452|RDH16_HUMAN	-0.7499994589897652	-1.5414983835584921	0.04149946557896178	0.3548083062497543	-2.113815955768044	0.060888529744981	1.0	0.5973152356392789	-9.19454272774161	0.09078219066720901	0.3013008308438744	0.39237366577844984	-1.9114418841075982	0.08987738790750197	1.0	False	False	False	False
sp|O75083|WDR1_HUMAN	psvid_95037_sp|O75083|WDR1_HUMAN	-1.0427891243891656	-2.150174621867075	0.06459637308874355	0.49641201084356196	-2.100652485456859	0.06224760783496209	1.0	0.6554256526404106	-15.21383493689165	0.5898494968111668	0.7680165993070507	0.4235921560345098	-2.461776285357395	0.03730266151733706	1.0	False	False	False	False
sp|Q9Y5J9|TIM8B_HUMAN	psvid_98593_sp|Q9Y5J9|TIM8B_HUMAN	-0.7114259344229752	-1.4691192988583457	0.046267430012395305	0.33965415611711075	-2.0945597797357136	0.06288641832274369	1.0	0.4632140666341185	-12.761183766996373	0.2555101113237509	0.5054800800464355	0.3227880280367108	-2.204003471721276	0.056428266120429074	1.0	False	False	False	False
sp|Q9BW72|HIG2A_HUMAN	psvid_84413_sp|Q9BW72|HIG2A_HUMAN	0.490704157482325	-0.03621400665991781	1.0176223216245677	0.236203658082552	2.0774621420588937	0.06471264031006266	1.0	0.3369048355195747	-11.285372907305486	0.10863981324204093	0.3296055418861172	0.2623516089987248	1.870406510389308	0.09587357523684883	1.0	False	False	False	False
sp|P11215|ITAM_HUMAN	psvid_23094_sp|P11215|ITAM_HUMAN	1.0146918843898316	-0.10131371471315309	2.130697483492816	0.5002761773791771	2.028263447813068	0.07025325957160886	1.0	0.7295482424565191	-16.588502432517153	0.45196887144268866	0.6722863016919864	0.46406070523218906	2.1865498908858028	0.05802765808592898	1.0	False	False	False	False
sp|Q14195|DPYL3_HUMAN	psvid_62000_sp|Q14195|DPYL3_HUMAN	-0.8161953104750697	-1.7154357552424373	0.08304513429229787	0.4031060172229977	-2.024765881933118	0.07066381638575436	1.0	0.45689530424743446	-16.239398229710286	0.5031991253649961	0.7093652975477417	0.31962117181688	-2.553633433715996	0.03218413987554237	1.0	False	False	False	False
sp|Q13418|ILK_HUMAN	psvid_43230_sp|Q13418|ILK_HUMAN	-0.8893769918311403	-1.880505405113285	0.10175142145100458	0.44429699482441826	-2.001762339586864	0.07342113840433252	1.0	0.5422983148666581	-14.391887540350538	0.5492096221382378	0.7410867844849467	0.3633425475475937	-2.4477645071683822	0.03815227727689128	1.0	False	False	False	False
sp|Q7Z2W4|ZCCHV_HUMAN	psvid_62867_sp|Q7Z2W4|ZCCHV_HUMAN	-1.0815570826949452	-2.303712475312852	0.14059830992296174	0.5478603588312396	-1.9741473630292405	0.07686536276348352	1.0	0.7993549258686605	-15.936744287861185	0.5410194344688071	0.7355402330728124	0.5026912254971632	-2.151533641004539	0.061371348898548124	1.0	False	False	False	False
sp|Q8NBN3|GPHCC_HUMAN	psvid_49917_sp|Q8NBN3|GPHCC_HUMAN	-0.9164675404011002	-1.9565703466550595	0.123635265852859	0.4662509367446899	-1.9656100785550599	0.0779605781605539	1.0	0.5943431810165816	-15.752244325888478	0.5597893920119673	0.7481907457406616	0.3907912377208405	-2.345158877527785	0.044991857307783455	1.0	False	False	False	False
sp|O15269|SPTC1_HUMAN	psvid_86951_sp|O15269|SPTC1_HUMAN	-0.7434818313858282	-1.590313981267217	0.10335031849556031	0.3796127467146848	-1.9585270458387052	0.07888034969063308	1.0	0.37769894283844513	-14.109334831919973	0.5113740976861536	0.7151042565151976	0.2811211470486544	-2.6447026102136384	0.027808164481134136	1.0	False	False	False	False
